Topology,car_cache,dynamo_stream,dynamo_ondemand,dynamo_writerate,dynamo_peakcapacity,dynamo_peaktime,dynamo_readrate,sqs_queue_size,sqs_timeout,fargate_vcpus,fargate_memorylevel,latency,cost,reliability,scalability
2.1,6,0,1,2250,1,0.2,5500,200,5,2,1,0.00077616,1.5205,0,0.00013825
2.1,9,0,0,9050,2,0.7,3600,38,9,4,2,0,2.5408,0,2.7762e-05
2.1,9,1,0,2500,7,0.2,9800,17,8,14,2,0,1.2207,0,2.8021e-05
2.1,7,0,1,6700,8,0.4,1900,87,9,6,2,0,1.5019,0,0.00013629
2.1,5,0,1,2450,7,0.1,6150,342,6,6,2,0,1.5487,0,0.00014064
2.1,3,1,1,7450,8,0.7,1300,101,9,2,3,0.00032359,1.6492,0,0.00014987
2.1,3,0,0,3750,10,0,7350,49,6,2,3,0.00069069,0.61831,0,4.9261e-05
2.1,9,1,0,5550,9,0.6,2550,38,1,2,1,0.0022523,7.52,0,2.8287e-05
2.1,3,0,0,1100,9,0,3300,359,5,12,2,0,0.56565,0,4.9166e-05
2.1,5,0,0,7300,8,0.8,7050,28,1,2,3,0.001152,6.8318,0,3.5802e-05
2.1,8,0,0,2050,1,0.4,3050,25,2,4,3,0,0.42921,0,2.8695e-05
2.1,4,0,0,9100,4,0.1,8800,396,8,4,2,0.0002496,1.0411,0,4.1973e-05
2.1,9,0,1,8350,7,0.5,8950,952,1,10,2,0,1.4639,0,0.00013275
2.1,5,1,1,6500,8,0,4200,62,7,6,3,0,1.4986,0,0.00013605
2.1,7,1,1,7800,8,0.1,2400,14,9,2,2,0.0003696,1.4495,0,0.00013169
2.1,1,0,1,2000,10,0.2,1200,210,1,2,3,0.00043413,2.4392,0,0.00022175
2.1,1,0,0,3500,8,0.6,5400,129,1,2,2,0.0012881,1.7663,0,0.0001168
2.1,1,0,1,500,1,0.4,2050,35,3,2,2,0.0025913,2.596,0,0.00023931
2.1,6,1,0,7650,7,0.6,8600,62,6,8,2,0,5.4049,0,3.3473e-05
2.1,10,0,0,4100,5,0.2,3550,23,1,2,3,0,1.5554,0,2.6034e-05
2.1,1,1,0,6300,6,0.7,3850,310,6,8,2,5.4009e-05,1.9797,0,0.00011869
2.1,10,1,1,5450,2,0.6,7450,557,5,8,1,0,1.3904,0,0.00012621
2.1,1,0,1,8100,2,0.1,6950,54,10,4,2,0.00041008,2.4402,0,0.00022185
2.1,2,0,0,1800,10,0.4,8150,416,3,6,1,0.00021008,1.2406,0,6.8716e-05
2.1,2,0,0,1500,6,0.2,700,1000,8,16,3,0,0.89811,0,7.1891e-05
2.1,5,1,1,3450,10,0.1,1600,8,4,2,1,0.00012,1.4988,0,0.00013619
2.1,8,1,0,8000,7,0.1,7400,585,1,2,2,0.00036822,1.7931,0,2.8977e-05
2.1,10,1,0,2100,2,0.6,4400,27,3,2,3,0,0.77367,0,2.6238e-05
2.1,7,1,1,2150,7,0.9,2200,181,9,2,2,0.00038596,1.449,0,0.00013164
2.1,5,1,0,7550,6,0.4,7900,54,4,6,2,0,2.7944,0,3.6039e-05
2.1,2,0,0,9100,10,0.5,1850,96,10,8,3,,3.2204,0,
2.1,10,0,0,4400,2,0.8,3800,68,2,8,1,0,1.6492,0,2.6034e-05
2.1,8,0,1,3800,8,0.1,2200,20,4,4,1,0.0018432,1.4728,0,0.00013396
2.1,7,1,0,8150,8,1,2500,38,8,8,3,0,12.2125,0,3.15754e-05
2.1,6,1,0,3750,6,0.5,5100,190,1,2,3,0.00033736,2.1221,0,3.347e-05
2.1,6,0,0,900,8,0.7,5600,135,3,4,2,9.6096e-05,1.4047,0,3.3096e-05
2.1,9,1,0,8600,5,0.2,7450,864,4,2,1,0.00089651,2.5382,0,2.8114e-05
