Topology,car_cache,dynamo_stream,dynamo_ondemand,dynamo_writerate,dynamo_peakcapacity,dynamo_peaktime,dynamo_readrate,sqs_queue_size,sqs_timeout,lambda_parallel_instances,lambda_allocated_memory,latency,cost,reliability,scalability
2.2,5,1,0,6750,2,0.6,6400,68,7,45,5376,0,1.1762,0,3.6175e-05
2.2,8,0,1,6600,9,1,7450,92,1,11,5376,0,1.4725,0,0.00013357
2.2,10,1,0,9650,1,0.4,650,142,6,2,1664,0,0.8383,0,2.6149e-05
2.2,4,0,1,1750,6,0.9,7000,9,5,44,3648,0,1.6227,0,0.00014732
2.2,10,0,1,950,4,0.8,5250,111,3,13,1088,0,1.4422,0,0.00013096
2.2,9,1,0,1800,2,1,9750,62,8,56,3456,0,0.87084,0,2.8082e-05
2.2,10,0,0,5050,2,0.3,8950,11,1,21,1856,3.431e-17,1.1093,0,2.6132e-05
2.2,3,1,0,7800,3,0.7,1750,784,5,36,256,0,1.627,0,4.9747e-05
2.2,5,0,0,8950,10,0.8,5000,377,9,68,192,6.47101e-17,10.2645,0,3.55967e-05
2.2,2,0,1,6100,5,0,2200,746,6,51,320,0,1.9078,0,0.00017341
2.2,10,0,0,8400,8,0.4,6450,823,7,27,3072,0,7.9137,0,2.5973e-05
2.2,6,1,0,5200,3,0,1550,11,10,60,3968,0,0.55416,0,3.4053e-05
2.2,9,1,1,800,2,0.7,8800,49,3,58,128,0,1.4084,0,0.00012796
2.2,1,1,0,7950,3,0.6,9000,165,10,100,256,0,1.5277,0,0.00012909
2.2,1,1,0,1350,8,0.1,2000,79,10,75,2432,0,1.3391,0,0.00011856
2.2,1,0,1,8650,9,0.6,2050,18,8,95,2240,0,2.4427,0,0.00022202
2.2,6,1,0,8300,8,0.6,4650,111,4,100,640,4.4553e-17,6.6942,0,3.3443e-05
2.2,10,0,1,4700,7,0.3,9300,23,4,31,128,0,1.4418,0,0.00013103
2.2,7,1,1,3950,2,0.1,9850,111,1,26,320,5.9342e-17,1.4479,0,0.00013152
2.2,4,1,1,2000,2,0,8650,907,10,41,6720,0,1.3029,0,0.00011841
2.2,5,0,0,1250,7,0.3,4950,22,1,80,640,0,0.82581,0,3.5717e-05
2.2,1,1,0,7050,3,0.2,1750,42,8,89,2944,4.4420120382e-17,5629500.963,0,625.50006708
2.2,3,0,1,6350,3,0.6,7100,56,2,31,2688,0,1.6965,0,0.00015412
2.2,7,0,0,5550,2,0.5,8800,157,3,86,256,0,1.2146,0,3.1226e-05
2.2,3,1,0,8350,4,0.5,7750,281,7,25,3200,0,1.7758,0,4.975e-05
2.2,4,0,0,550,10,1,4100,243,7,13,320,0,1.2615,0,4.1913e-05
2.2,10,1,0,2850,7,0.6,650,416,6,91,192,5.960371099e-17,7036877.8331,0,781.87496146
2.2,10,1,0,4450,4,0.9,9550,268,7,65,512,0,4.0132,0,2.6182e-05
2.2,8,0,1,1350,10,0.6,9000,20,10,25,320,6.9463365294e-17,90071994.0184,0,-10007.9990382
2.2,5,1,1,4400,5,0.8,2850,530,7,98,256,0,1.4964,0,0.00013601
2.2,3,0,1,4000,7,0.4,5750,51,7,2,4544,0,1.6958,0,0.00015406
2.2,4,1,1,5300,7,0.4,8600,190,6,37,2560,0,1.5674,0,0.00014243
2.2,1,0,1,6700,7,0.4,5300,17,1,69,256,0,2.4366,0,0.00022147
2.2,6,0,0,2600,7,0.5,6200,21,2,3,7680,0,1.9845,0,3.3154e-05
2.2,7,1,0,900,9,0.6,650,746,1,65,3968,0,1.261,0,3.1491e-05
2.2,6,0,1,4550,6,0.2,7600,22,2,90,4736,4.2485e-17,1.5315,0,0.000139
2.2,9,0,1,2100,9,0.8,7900,326,1,61,6464,0,1.4671,0,0.0001327
2.2,6,1,0,9750,6,1,850,19,6,65,576,0,9.1518,0,3.3521e-05
2.2,7,0,1,5650,7,0.2,1650,10,9,76,4352,4.4591e-17,1.5125,0,0.00013708
2.2,5,0,0,2850,1,0.9,2000,157,6,20,3456,0,0.4898,0,3.5593e-05
2.2,7,0,0,7000,3,0.6,9450,123,7,98,6464,6.42629076724e-17,39406499.2356,0,-4378.4996062
2.2,7,1,0,5350,7,0.8,4450,10,6,14,640,1.022638939401e-16,157625992.7127,0,-17513.9985193
2.2,7,0,1,950,9,0.9,2350,149,10,5,256,0,1.486,0,0.00013775
2.2,3,1,1,7400,6,0.7,800,20,8,31,3328,0,1.6512,0,0.00015008
2.2,9,0,1,7350,6,0.2,9150,823,6,71,4160,0,1.4618,0,0.00013266
2.2,2,0,1,700,1,0.1,8300,49,3,37,256,0,1.9081,0,0.00017344
2.2,8,0,0,7400,6,0.8,3900,19,6,49,832,4.4624e-17,7.7409,0,2.8763e-05
2.2,4,1,0,5900,4,0.3,550,200,9,43,5376,0,1.2157,0,4.2445e-05
2.2,10,0,0,2200,4,0.9,5500,436,2,62,1536,0,2.368,0,2.5927e-05
2.2,3,0,0,8300,9,1,550,281,1,64,4352,5.6503e-17,6.4884,0,4.8987e-05
2.2,9,1,0,7950,2,0.3,500,54,1,86,320,0,1.3358,0,2.796e-05
2.2,9,0,0,900,8,0.7,9250,645,9,100,4352,5.70377337689e-17,25332750.0023,0,-2814.74973949
2.2,4,0,1,5000,4,0.9,1000,51,2,5,2688,0,1.6168,0,0.00014692
2.2,10,0,0,9150,8,0.9,9550,746,10,40,2240,0,18.4219,0,2.70122e-05
2.2,9,1,1,5150,6,0.8,850,645,8,62,3456,0,1.409,0,0.00012789
2.2,3,0,1,9350,9,0.3,3050,295,8,86,7040,0,1.6969,0,0.00015412
2.2,3,1,1,1150,2,0.3,3450,62,1,56,2368,0,1.6498,0,0.00014979
2.2,2,0,1,8950,1,0.9,2800,65,2,22,3776,0,1.995,0,0.00018303
2.2,1,0,1,2350,7,0.6,4900,26,5,78,128,0,2.4362,0,0.00022145
2.2,7,0,0,9900,9,0,7400,14,5,87,128,0,0.81628,0,3.1308e-05
2.2,9,1,0,9200,7,0.9,7300,83,9,10,128,0,13.6961,0,2.79449e-05
2.2,4,0,0,5750,7,0.9,9050,65,4,45,448,0,4.4886,0,4.1905e-05
2.2,5,1,0,5200,1,0.2,9050,51,2,35,256,0,0.54452,0,3.6028e-05
