Topology,car_cache,ec2_vcpus,ec2_memorylevel,ec2_instances,latency,cost,reliability,scalability
3,4,2,1,12,0.011417,0.19283,0,1.7513e-05
3,8,10,2,8,0.013056,0.17908,0,1.6263e-05
3,2,8,2,84,0.013056,0.22032,0,2.0013e-05
3,2,6,1,40,0.012111,0.22032,0,2.0013e-05
3,4,14,3,63,0.015833,0.19282,0,1.7513e-05
3,9,2,1,68,0.011417,0.18367,0,1.6678e-05
3,6,4,1,86,0.011889,0.18367,0,1.6679e-05
3,9,2,2,95,0.011611,0.18366,0,1.6679e-05
3,5,10,2,44,0.013056,0.17633,0,1.6013e-05
3,1,4,3,91,0.012111,0.22032,0,2.0013e-05
3,3,2,1,32,0.011417,0.18365,0,1.668e-05
3,6,10,3,92,0.013889,0.18366,0,1.6679e-05
3,8,2,3,35,0.011611,0.17908,0,1.6262e-05
3,6,8,3,34,0.013056,0.18366,0,1.6679e-05
3,5,2,2,46,0.011611,0.17632,0,1.6013e-05
3,2,6,3,43,0.012667,0.22032,0,2.0013e-05
3,2,2,1,7,0.012333,0.22032,0,2.0115e-05
3,1,4,2,31,0.012111,0.22032,0,2.0013e-05
3,8,6,3,49,0.012667,0.17908,0,1.6262e-05
3,6,8,2,77,0.013056,0.18366,0,1.6679e-05
3,10,2,2,47,0.011611,0.17633,0,1.6012e-05
3,7,2,3,2,0.011611,0.18891,0,1.7155e-05
3,3,12,3,54,0.013889,0.18365,0,1.668e-05
3,1,2,1,97,0.011417,0.22032,0,2.0013e-05
3,9,4,3,80,0.012111,0.18367,0,1.6678e-05
3,5,2,1,84,0.011417,0.17632,0,1.6013e-05
3,4,8,1,74,0.012667,0.19283,0,1.7513e-05
3,1,8,1,99,0.012667,0.22032,0,2.0013e-05
3,6,2,2,94,0.011611,0.18367,0,1.6679e-05
3,6,2,2,45,0.011611,0.18366,0,1.6679e-05
3,2,8,2,9,0.013056,0.22032,0,2.0013e-05
3,10,12,1,65,0.013056,0.17633,0,1.6012e-05
3,9,2,3,46,0.011611,0.18366,0,1.6679e-05
3,5,2,3,94,0.011611,0.17633,0,1.6013e-05
3,5,4,3,41,0.012111,0.17632,0,1.6013e-05
3,3,12,3,18,0.013889,0.18365,0,1.6679e-05
3,1,2,1,91,0.011417,0.22032,0,2.0013e-05
3,8,2,2,67,0.011611,0.17908,0,1.6262e-05
3,4,6,1,19,0.012111,0.19282,0,1.7513e-05
3,3,8,1,28,0.012667,0.18365,0,1.668e-05
3,5,2,2,64,0.011611,0.17633,0,1.6013e-05
3,8,4,2,32,0.012111,0.17908,0,1.6262e-05
3,4,2,3,29,0.011611,0.19282,0,1.7513e-05
3,10,2,2,29,0.011611,0.17633,0,1.6012e-05
3,6,4,1,44,0.011889,0.18367,0,1.6679e-05
3,3,12,3,12,0.013889,0.18365,0,1.6679e-05
3,4,2,1,57,0.011417,0.19282,0,1.7513e-05
3,8,4,3,42,0.012111,0.17908,0,1.6262e-05
3,8,2,3,76,0.011611,0.17908,0,1.6262e-05
3,1,8,3,35,0.013056,0.22032,0,2.0013e-05
3,1,10,1,55,0.012667,0.22032,0,2.0013e-05
3,10,4,1,45,0.011889,0.17633,0,1.6012e-05
3,7,2,3,46,0.011611,0.18891,0,1.7155e-05
3,3,2,3,75,0.011611,0.18365,0,1.6679e-05
3,7,2,3,46,0.011611,0.18891,0,1.7155e-05
3,7,12,1,61,0.013056,0.18891,0,1.7155e-05
3,1,2,3,55,0.011611,0.22032,0,2.0013e-05
3,7,2,2,8,0.011611,0.18891,0,1.7155e-05
3,7,2,2,98,0.011611,0.18891,0,1.7155e-05
3,7,2,2,3,0.011611,0.18891,0,1.7155e-05
3,6,16,3,40,0.016667,0.18366,0,1.6679e-05
3,6,4,2,15,0.012111,0.18366,0,1.6679e-05
3,3,4,1,41,0.011889,0.18365,0,1.668e-05
3,6,10,2,68,0.013056,0.18367,0,1.6679e-05
3,8,2,2,77,0.011611,0.17908,0,1.6262e-05
3,5,4,2,22,0.012111,0.17632,0,1.6013e-05
3,9,4,1,37,0.011889,0.18367,0,1.6678e-05
3,9,2,2,74,0.011611,0.18367,0,1.6678e-05
3,8,2,3,43,0.011611,0.17908,0,1.6262e-05
3,6,2,2,16,0.011611,0.18366,0,1.6679e-05
3,4,2,2,67,0.011611,0.19282,0,1.7513e-05
3,6,10,2,7,0.013056,0.18366,0,1.6679e-05
3,3,12,3,99,0.013889,0.18365,0,1.6679e-05
3,4,16,2,66,0.015833,0.19282,0,1.7513e-05
3,7,10,2,38,0.013056,0.18891,0,1.7155e-05
3,2,2,1,39,0.011417,0.22032,0,2.0013e-05
3,1,14,1,96,0.013056,0.22032,0,2.0013e-05
3,1,2,1,37,0.011417,0.22032,0,2.0013e-05
3,8,4,1,5,0.011889,0.17908,0,1.6262e-05
3,6,8,2,94,0.013056,0.18367,0,1.6679e-05
3,8,8,1,53,0.012667,0.17908,0,1.6263e-05
3,7,4,2,24,0.012111,0.18891,0,1.7155e-05
3,10,2,2,99,0.011611,0.17633,0,1.6012e-05
3,5,6,1,77,0.012111,0.17632,0,1.6013e-05
3,8,2,2,27,0.011611,0.17908,0,1.6263e-05
3,1,2,2,52,0.011611,0.22032,0,2.0013e-05
3,9,4,2,96,0.012111,0.18366,0,1.6679e-05
3,4,2,3,93,0.011611,0.19283,0,1.7513e-05
3,5,4,1,19,0.011889,0.17633,0,1.6013e-05
3,8,6,3,84,0.012667,0.17908,0,1.6262e-05
3,7,2,3,14,0.011611,0.18891,0,1.7155e-05
3,6,4,1,94,0.011889,0.18367,0,1.6679e-05
3,7,6,2,71,0.012667,0.18891,0,1.7155e-05
3,5,4,3,49,0.012111,0.17633,0,1.6012e-05
3,2,10,2,32,0.013056,0.22032,0,2.0013e-05
3,4,12,2,3,0.013889,0.19282,0,1.7513e-05
3,3,8,2,27,0.013056,0.18365,0,1.668e-05
3,2,2,2,4,0.012361,0.22032,0,2.0096e-05
3,4,2,1,27,0.011417,0.19282,0,1.7513e-05
3,8,2,3,31,0.011611,0.17908,0,1.6262e-05
