Topology,fargate_vcpus,fargate_memorylevel,car_cache,latency,cost,reliability,scalability
1.1,2,2,1,0.0003984,0.22461,0,2.0398e-05
1.1,8,3,10,0,0.17913,0,1.6013e-05
1.1,2,3,8,3.84e-05,0.17968,0,1.6271e-05
1.1,10,2,9,0,0.18672,0,1.668e-05
1.1,2,3,7,0.0001344,0.18955,0,1.7179e-05
1.1,12,1,6,0,0.18678,0,1.668e-05
1.1,4,1,9,0.0003888,0.1848,0,1.6747e-05
1.1,2,2,3,0.0001008,0.18516,0,1.6806e-05
1.1,12,2,1,1.44e-05,0.22621,0,2.0257e-05
1.1,10,1,2,0.0001248,0.22497,0,2.0259e-05
1.1,2,3,4,5.76e-05,0.19381,0,1.7566e-05
1.1,2,3,4,5.76e-05,0.19381,0,1.7566e-05
1.1,8,3,7,0,0.19171,0,1.7156e-05
1.1,4,3,1,3.36e-05,0.22403,0,2.0282e-05
1.1,2,1,4,0.0002112,0.19464,0,1.7698e-05
1.1,2,3,5,0.000216,0.17715,0,1.6065e-05
1.1,8,3,8,0,0.18188,0,1.6263e-05
1.1,12,1,3,0.0001296,0.18743,0,1.6767e-05
1.1,2,2,6,8.64e-05,0.1845,0,1.673e-05
1.1,6,2,5,0,0.17809,0,1.6013e-05
1.1,2,3,10,0,0.1769,0,1.6013e-05
1.1,2,3,9,0,0.18423,0,1.668e-05
1.1,2,2,8,0.0004224,0.17974,0,1.6332e-05
1.1,8,3,6,0,0.18647,0,1.668e-05
1.1,4,2,6,2.88e-05,0.18484,0,1.6689e-05
1.1,2,3,9,0,0.18423,0,1.668e-05
1.1,10,1,10,0,0.17889,0,1.6013e-05
1.1,2,3,6,0.0002592,0.18438,0,1.6725e-05
1.1,2,1,6,0.0002016,0.18491,0,1.68e-05
1.1,8,1,2,4.8e-05,0.22471,0,2.0282e-05
1.1,2,3,8,3.84e-05,0.17968,0,1.6271e-05
1.1,6,3,5,0,0.17839,0,1.6013e-05
1.1,16,1,7,0,0.19312,0,1.7156e-05
1.1,6,1,3,0.0001008,0.1866,0,1.6856e-05
1.1,6,3,1,3.36e-05,0.2244,0,2.0241e-05
1.1,2,3,10,0,0.1769,0,1.6013e-05
1.1,16,2,5,0,0.18133,0,1.6013e-05
1.1,2,2,8,0.0004224,0.17974,0,1.6332e-05
1.1,8,3,3,0,0.18646,0,1.668e-05
1.1,2,3,2,6.72e-05,0.22209,0,2.0153e-05
1.1,2,3,3,0.0001008,0.1849,0,1.6766e-05
1.1,2,2,4,9.6e-05,0.19399,0,1.7602e-05
1.1,2,2,3,0.0001008,0.18516,0,1.6806e-05
1.1,4,1,7,0.0002016,0.19027,0,1.7227e-05
1.1,4,2,4,0.0002112,0.19433,0,1.758e-05
1.1,2,2,6,8.64e-05,0.1845,0,1.673e-05
1.1,2,1,3,0.000216,0.18604,0,1.6928e-05
1.1,2,1,2,0.0007968,0.22393,0,2.0316e-05
1.1,6,2,6,0,0.18543,0,1.668e-05
