Topology,lambda_parallel_instances,lambda_allocated_memory,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,car_cache,latency,cost,reliability,scalability
1.4,72,1984,0,1,2350,0.7,9,0,87.1409,0,-4.86279e-10
1.4,34,1472,0,0,5300,0.3,1,0,16.6698,0,-4.0355e-11
1.4,70,2048,1,1,800,0.7,4,0,0.019915,0,-2.2049e-10
1.4,70,448,1,0,7850,0.4,7,0,0.0016407,0,-2.1919e-10
1.4,76,320,1,1,4400,0.1,2,0,0.010126,0,-1.9851e-11
1.4,82,9600,1,1,3050,0.5,1,4.4429e-17,0.052705,0,-7.8327e-11
1.4,60,3968,1,0,4550,0.7,10,0,0.014514,0,-6.5415e-10
1.4,42,128,0,0,2200,0,1,0,5.6105,0,9.6506e-11
1.4,24,3968,1,1,1350,0.2,1,0,0.018177,0,-6.0853e-11
1.4,87,384,1,0,2500,0.4,8,4.4472e-17,0.0016747,0,-2.3119e-10
1.4,92,640,1,0,550,0.9,10,0,0.0030805,0,-3.9101e-10
1.4,59,128,1,1,2700,0.5,1,0,0.0079895,0,9.6506e-11
1.4,39,3328,1,0,6150,0,3,3.3533e-17,0.01018,0,-2.4055e-07
1.4,15,128,0,1,800,1,2,0,8.1096,0,7.1763e-11
1.4,47,640,1,1,1200,0.3,1,0,0.011544,0,-2.1358e-11
1.4,19,3648,1,1,2350,0.7,1,0,0.016624,0,-6.0596e-11
1.4,90,2432,0,1,2500,0.6,10,4.40121e-17,97.0922,0,1.96925e-08
1.4,57,1600,1,0,3550,0.1,7,0,0.0052428,0,-3.6894e-10
1.4,81,128,1,0,3700,0.6,1,0,0.00061274,0,9.6506e-11
1.4,90,8384,0,0,9700,0.4,8,0,266.7543,0,-6.381622e-10
1.4,93,5888,1,0,4300,0.9,9,0,0.034912,0,-6.6659e-10
1.4,83,128,1,1,2800,0.8,6,0,0.0081035,0,-1.7195e-11
1.4,87,256,1,1,2350,0.2,10,0,0.009663,0,-2.5654e-10
1.4,92,2240,0,1,2150,0,4,0,21.0431,0,-2.24157e-10
1.4,81,3968,0,0,5450,0.2,6,0,94.5568,0,-3.90921e-10
1.4,4,2560,1,1,1450,0.5,3,0,0.012728,0,-1.7437e-10
1.4,27,3648,1,1,10000,0.8,6,3.2298e-17,0.018461,0,8.7353e-09
1.4,80,1408,0,0,6350,0.4,3,0,65.254,0,-1.42475e-10
1.4,55,640,1,1,1400,1,4,4.4453e-17,0.011793,0,-1.4278e-10
1.4,20,192,0,1,3350,0.2,4,0,38.9599,0,-2.24572e-11
1.4,35,6464,1,1,5300,0.3,3,0,0.014936,0,-2.3177e-10
1.4,83,192,0,0,6550,0.5,4,0,95.3416,0,-2.24572e-11
1.4,47,2432,1,1,600,0.2,7,0,0.018265,0,-3.9802e-10
1.4,44,512,0,0,1800,0.6,3,0,21.3943,0,-8.99241e-11
1.4,85,6144,1,1,1250,0.8,6,0,0.046223,0,-4.3464e-10
1.4,62,2560,0,1,1200,0.2,4,0,14.195,0,-2.36015e-10
1.4,29,384,0,1,1150,0.2,6,4.44718e-17,19.9405,0,-1.61134e-10
1.4,6,4736,0,0,1250,0.7,7,0,36.2426,0,-4.8962e-10
1.4,72,448,1,0,2250,0.1,9,0,0.0016818,0,-2.9206e-10
1.4,24,192,0,1,950,0.3,6,0,17.8181,0,-7.64759e-11
1.4,64,704,1,0,600,0,6,4.4431e-17,0.0024071,0,-2.2951e-10
1.4,90,1664,1,1,1700,0.2,7,0,0.019689,0,-3.7624e-10
1.4,64,3456,0,0,550,0.3,4,0,7.0331,0,-2.548e-10
1.4,65,1792,1,1,7400,0,6,0,0.017856,0,-3.184e-10
1.4,5,4160,0,0,1100,0.1,2,0,5.8287,0,-1.3387e-10
1.4,84,3328,1,0,700,0,3,3.3533e-17,0.021662,0,-5.1788e-07
1.4,66,1984,1,0,1700,0.3,9,0,0.0074299,0,-4.8628e-10
1.4,76,5632,0,1,600,1,7,0,20.7101,0,-5.05486e-10
