1.1,1.2,1.3,1.4,2.1,2.2,3.0,car_cache,dynamo_stream,dynamo_ondemand,dynamo_writerate,dynamo_peakcapacity,dynamo_peaktime,dynamo_readrate,sqs_queue_size,sqs_timeout,fargate_vcpus,fargate_memorylevel,lambda_parallel_instances,lambda_allocated_memory,ec2_vcpus,ec2_memorylevel,ec2_instances,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,latency,cost,reliability,scalability
0,0,0,0,1,0,0,6,0.0,1.0,2250.0,1.0,0.2,5500.0,200.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00077616,1.5205,0,0.00013825
0,0,0,0,1,0,0,9,0.0,0.0,9050.0,2.0,0.7,3600.0,38.0,9.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5408,0,2.7762e-05
0,0,0,0,1,0,0,9,1.0,0.0,2500.0,7.0,0.2,9800.0,17.0,8.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2207,0,2.8021e-05
0,0,0,0,1,0,0,7,0.0,1.0,6700.0,8.0,0.4,1900.0,87.0,9.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5019,0,0.00013629
0,0,0,0,1,0,0,5,0.0,1.0,2450.0,7.0,0.1,6150.0,342.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5487,0,0.00014064
0,0,0,0,1,0,0,3,1.0,1.0,7450.0,8.0,0.7,1300.0,101.0,9.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032359,1.6492,0,0.00014987
0,0,0,0,1,0,0,3,0.0,0.0,3750.0,10.0,0.0,7350.0,49.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00069069,0.61831,0,4.9261e-05
0,0,0,0,1,0,0,9,1.0,0.0,5550.0,9.0,0.6,2550.0,38.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022523,7.52,0,2.8287e-05
0,0,0,0,1,0,0,3,0.0,0.0,1100.0,9.0,0.0,3300.0,359.0,5.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56565,0,4.9166e-05
0,0,0,0,1,0,0,5,0.0,0.0,7300.0,8.0,0.8,7050.0,28.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001152,6.8318,0,3.5802e-05
0,0,0,0,1,0,0,8,0.0,0.0,2050.0,1.0,0.4,3050.0,25.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42921,0,2.8695e-05
0,0,0,0,1,0,0,4,0.0,0.0,9100.0,4.0,0.1,8800.0,396.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002496,1.0411,0,4.1973e-05
0,0,0,0,1,0,0,9,0.0,1.0,8350.0,7.0,0.5,8950.0,952.0,1.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4639,0,0.00013275
0,0,0,0,1,0,0,5,1.0,1.0,6500.0,8.0,0.0,4200.0,62.0,7.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4986,0,0.00013605
0,0,0,0,1,0,0,7,1.0,1.0,7800.0,8.0,0.1,2400.0,14.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003696,1.4495,0,0.00013169
0,0,0,0,1,0,0,1,0.0,1.0,2000.0,10.0,0.2,1200.0,210.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043413,2.4392,0,0.00022175
0,0,0,0,1,0,0,1,0.0,0.0,3500.0,8.0,0.6,5400.0,129.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012881,1.7663,0,0.0001168
0,0,0,0,1,0,0,1,0.0,1.0,500.0,1.0,0.4,2050.0,35.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025913,2.596,0,0.00023931
