Topology,car_cache,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,fargate_vcpus,fargate_memorylevel,latency,cost,reliability,scalability
1.3,2,1,1,2150,0.4,2,3,6.72e-05,0.010663,0,1.4005e-07
1.3,1,0,0,600,0.1,8,2,2.4e-05,1.5054,0,3.1336e-07
1.3,4,0,0,850,0.3,2,3,5.76e-05,10.5012,0,5.26996e-08
1.3,7,0,1,1150,0.2,2,3,0.0001344,23.124,0,2.30047e-08
1.3,6,0,0,1050,0.4,2,3,0.0002592,21.3009,0,4.51923e-08
1.3,10,1,1,4850,0.8,6,3,0,0.010964,0,-3.1328e-10
1.3,4,1,0,1200,0,2,1,0.0002112,0.0022203,0,1.8425e-07
1.3,5,0,1,4550,0.1,10,1,0,60.0668,0,5.9387e-09
1.3,2,1,1,5800,0.6,2,1,0.0007968,0.012508,0,3.0301e-07
1.3,5,0,1,500,0.7,2,1,0.00012,10.2097,0,1.35078e-07
1.3,7,1,1,10000,0,2,3,0.0001344,0.0095454,0,2.3005e-08
1.3,1,1,1,750,0.9,2,2,0.0003984,0.013189,0,3.8446e-07
1.3,3,1,1,5450,0.9,8,3,0,0.011708,0,-9.3765e-11
1.3,4,1,1,1150,0.3,12,1,1.92e-05,0.012147,0,1.6636e-08
1.3,7,0,1,950,0.1,6,1,0.0001344,17.7206,0,3.29997e-08
1.3,8,1,0,1150,0,4,3,0,0.0017172,0,-2.5042e-10
1.3,8,0,1,5300,0.1,4,3,0,112.0208,0,-2.504152e-10
1.3,7,0,0,2550,0,4,1,0.0002016,42.9015,0,7.09417e-08
1.3,5,1,0,2350,0.1,12,1,0,0.0035153,0,-1.5636e-10
1.3,4,1,1,850,0.5,16,3,0,0.014692,0,-1.2506e-10
1.3,1,0,0,1900,0.5,2,2,0.0003984,6.9045,0,3.8446e-07
1.3,9,1,0,7600,0.1,2,3,0,0.00097143,0,-2.8186e-10
1.3,2,0,0,600,0.2,4,1,0.0001056,3.604,0,3.3349e-07
1.3,8,0,1,1250,0.1,4,3,0,26.4296,0,-2.50415e-10
1.3,5,1,0,1250,0.2,14,1,0,0.0040638,0,-1.5636e-10
1.3,4,0,0,1750,1,12,2,0,33.9039,0,-1.25056e-10
1.3,6,0,1,7400,0.5,2,1,0.0002016,160.9384,0,1.197331e-07
1.3,7,1,1,1800,0.7,6,3,0,0.010963,0,-2.1878e-10
1.3,7,1,1,3050,0.7,8,3,0,0.011709,0,-2.1878e-10
1.3,4,1,1,1500,0.4,6,1,5.76e-05,0.011291,0,1.0867e-07
1.3,10,1,0,1350,1,8,3,0,0.0032101,0,-3.1328e-10
1.3,7,1,0,6150,0.1,4,3,0,0.0017169,0,-2.1878e-10
1.3,3,1,0,5650,0.7,16,3,0,0.0061921,0,-9.3765e-11
1.3,6,0,0,850,1,4,3,0,24.9015,0,-1.87907e-10
1.3,7,0,0,9150,0.6,2,2,0.0002016,247.5009,0,5.095159e-08
1.3,9,1,1,1900,0.2,2,1,0.0003024,0.0097676,0,8.8174e-08
1.3,6,1,0,7600,0.3,6,1,0.0002592,0.0021991,0,6.5182e-08
1.3,3,0,1,2500,0.6,2,1,0.000216,29.1263,0,2.48205e-07
1.3,7,1,0,850,0,10,2,0,0.0034613,0,-2.1878e-10
1.3,5,1,0,2550,0.7,2,2,0.000312,0.0013632,0,8.9174e-08
1.3,5,1,1,700,0.6,2,2,0.000312,0.0098632,0,8.9174e-08
