1.1,1.2,1.3,1.4,2.1,2.2,3.0,car_cache,dynamo_stream,dynamo_ondemand,dynamo_writerate,dynamo_peakcapacity,dynamo_peaktime,dynamo_readrate,sqs_queue_size,sqs_timeout,fargate_vcpus,fargate_memorylevel,lambda_parallel_instances,lambda_allocated_memory,ec2_vcpus,ec2_memorylevel,ec2_instances,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,latency,cost,reliability,scalability
0,0,0,0,1,0,0,7,1.0,0.0,8750.0,8.0,0.4,6250.0,243.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00084211,5.6525,0,3.1708e-05
0,0,0,0,1,0,0,7,0.0,1.0,2350.0,6.0,0.5,7250.0,232.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00082339,1.5014,0,0.00013642
0,0,0,0,1,0,0,6,1.0,1.0,6450.0,6.0,0.5,2000.0,15.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4705,0,0.00013346
0,0,0,0,1,0,0,1,0.0,1.0,4350.0,5.0,0.0,4350.0,14.0,10.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.84e-05,2.4415,0,0.00022178
0,0,0,0,1,0,0,2,1.0,1.0,8750.0,9.0,0.1,3200.0,505.0,5.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002401,1.8668,0,0.00016951
0,0,0,0,1,0,0,4,1.0,1.0,5950.0,1.0,0.0,2350.0,614.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6686e-05,1.5688,0,0.00014249
0,0,0,0,1,0,0,6,0.0,0.0,7900.0,9.0,0.0,5800.0,17.0,10.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006912,0.68851,0,3.3222e-05
0,0,0,0,1,0,0,8,1.0,1.0,6400.0,1.0,0.2,1000.0,96.0,9.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4201,0,0.00012892
0,0,0,0,1,0,0,2,1.0,0.0,8750.0,9.0,0.5,9750.0,101.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020523,2.8894,0,6.9761e-05
0,0,0,0,1,0,0,4,1.0,0.0,6750.0,2.0,0.3,4000.0,181.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004003,0.85662,0,4.2607e-05
0,0,0,0,1,0,0,8,0.0,1.0,9000.0,4.0,0.6,7100.0,359.0,7.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4729,0,0.00013369
0,0,0,0,1,0,0,4,0.0,0.0,5650.0,9.0,0.5,9150.0,12.0,9.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4423,0,4.1968e-05
0,0,0,0,1,0,0,1,0.0,0.0,8550.0,2.0,0.9,2300.0,481.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011502,1.6774,0,0.00012883
0,0,0,0,1,0,0,1,0.0,0.0,6050.0,3.0,0.8,2600.0,8.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001152,1.6598,0,0.00012182
0,0,0,0,1,0,0,6,0.0,0.0,7150.0,7.0,0.8,5450.0,377.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8327,0,3.3107e-05
0,0,0,0,1,0,0,6,0.0,1.0,8650.0,7.0,0.0,9100.0,27.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5216,0,0.00013814
0,0,0,0,1,0,0,6,0.0,1.0,9650.0,9.0,0.4,5300.0,190.0,7.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5219,0,0.00013812
0,0,0,0,1,0,0,3,1.0,1.0,9850.0,2.0,0.7,6850.0,18.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024624,1.6497,0,0.00015017
0,0,0,0,1,0,0,2,0.0,1.0,3850.0,1.0,0.2,5300.0,54.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036327,1.9115,0,0.00017395
0,0,0,0,1,0,0,1,0.0,1.0,7200.0,5.0,0.1,6700.0,165.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00083559,2.4397,0,0.00022174
0,0,0,0,1,0,0,4,0.0,0.0,8650.0,4.0,0.8,5700.0,342.0,8.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.178,0,4.1927e-05
0,0,0,0,1,0,0,9,1.0,0.0,2700.0,5.0,0.2,9200.0,36.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0094,0,2.7987e-05
