Topology,car_cache,dynamo_stream,dynamo_ondemand,dynamo_writerate,dynamo_peakcapacity,dynamo_peaktime,dynamo_readrate,sqs_queue_size,sqs_timeout,fargate_vcpus,fargate_memorylevel,latency,cost,reliability,scalability
2.1,3,0,0,9300,8,0.1,2100,149,5,2,3,0.0002016,1.3019,0,4.9196e-05
2.1,2,1,1,9050,7,0.1,8950,101,2,4,1,0.00046059,1.8678,0,0.00016979
2.1,7,1,1,1650,10,1,5000,96,2,2,3,0.00041246,1.449,0,0.00013163
2.1,4,1,0,5100,7,0.1,1450,23,5,12,1,0.0004608,0.94079,0,4.2594e-05
2.1,10,0,1,7450,5,0.6,800,8,9,8,2,0,1.4451,0,0.00013106
2.1,2,1,1,4700,7,1,8850,210,1,2,1,0.0025788,1.8675,0,0.00016975
2.1,1,0,1,2850,1,1,3450,21,8,2,1,0.0067406,2.5718,0,0.00023685
2.1,1,1,1,4650,8,0.5,5650,25,8,8,2,0.0005856,2.4087,0,0.00021886
2.1,4,0,0,3950,2,0.8,3750,8,9,10,1,0.0002304,0.95495,0,4.2026e-05
2.1,5,0,0,2500,6,0.1,3450,200,10,2,2,,0.65175,0,
2.1,5,0,1,9250,7,0.9,2800,268,5,4,2,0.0002826,1.5482,0,0.00014067
2.1,1,1,0,4200,7,0.4,2950,677,7,2,3,6.6679e-05,1.6204,0,0.00011864
2.1,9,1,1,4650,4,0.3,7300,19,2,2,3,0,1.4091,0,0.000128
2.1,2,0,1,9200,8,0,4150,342,6,16,3,0,1.9123,0,0.0001735
2.1,2,1,0,9200,2,0.5,4450,359,5,6,3,0.00016702,1.1363,0,6.9526e-05
2.1,10,0,1,1450,2,0.7,5400,30,7,2,2,0.001152,1.443,0,0.00013119
2.1,1,1,1,9650,10,0.4,2450,268,6,16,2,0.00012708,2.4072,0,0.00021856
2.1,7,0,0,3900,9,0.6,7750,18,4,12,2,0,4.6964,0,3.1312e-05
2.1,1,0,1,9950,8,0.9,2800,46,7,8,1,0.00062512,2.4432,0,0.00022217
2.1,9,0,1,8450,8,0.3,5650,18,7,4,3,0,1.4624,0,0.00013277
2.1,4,0,1,4100,6,0.2,4750,142,2,2,1,0.00064048,1.6183,0,0.00014713
2.1,3,0,1,4800,7,0.6,3250,62,2,6,3,0,1.6976,0,0.0001541
2.1,8,0,0,4550,8,0.9,4150,31,8,2,2,0.0018432,7.4916,0,2.8934e-05
2.1,6,1,0,750,10,0.6,8300,255,1,14,1,0,1.0994,0,3.3413e-05
2.1,7,0,0,8450,4,0.2,3350,190,4,6,1,0.00035088,1.7945,0,3.1356e-05
2.1,8,1,0,4600,8,0.7,7350,310,1,6,2,0,5.7393,0,2.8913e-05
2.1,7,0,1,6400,3,0.7,1700,614,8,6,2,0,1.5016,0,0.00013628
2.1,8,1,0,900,1,0.2,6700,96,9,2,1,0.00074565,0.41476,0,3.5054e-05
2.1,10,1,1,8300,9,0.3,4600,56,9,8,1,0,1.3912,0,0.00012625
2.1,7,0,0,1700,4,0.2,7250,18,1,2,3,0.0008064,0.67736,0,3.1411e-05
2.1,6,0,0,950,7,0.3,5550,65,3,4,1,0.0005184,0.78795,0,3.3218e-05
2.1,4,0,1,4000,7,0,2200,326,4,14,3,0,1.6208,0,0.00014691
2.1,5,1,0,8350,4,0,5050,9,9,8,1,0.000288,0.63711,0,3.6124e-05
2.1,4,0,0,5100,4,0,6950,59,3,2,3,0.00044033,0.60148,0,4.2022e-05
2.1,4,0,1,5500,3,0.8,9500,220,1,2,2,0.00044971,1.6179,0,0.00014704
2.1,8,1,0,8600,8,0,9400,92,2,2,3,0.00024036,0.71101,0,2.8954e-05
2.1,3,1,1,9900,9,0.4,1150,149,3,8,3,0,1.6507,0,0.00014976
2.1,2,1,1,5750,3,1,6200,181,8,4,1,0.00023009,1.8676,0,0.00016976
2.1,5,1,0,5800,5,0.6,6050,56,5,16,2,0,2.5762,0,3.615e-05
2.1,7,0,1,2550,1,0,5200,210,2,2,2,0.00038278,1.5009,0,0.00013635
2.1,9,0,0,1600,5,0.5,3600,19,3,4,1,0.0010368,1.3308,0,2.7916e-05
2.1,8,0,1,6900,7,0.3,7050,65,8,10,3,0,1.4745,0,0.00013371
2.1,7,1,1,3200,8,0.2,9950,310,6,2,2,0.0012632,1.4488,0,0.00013174
2.1,7,1,0,7500,10,0.2,8400,149,6,6,2,0,3.3784,0,3.1611e-05
2.1,4,0,1,7100,3,0.2,3550,117,5,2,1,0.0008006,1.6183,0,0.00014717
2.1,9,0,0,9050,2,0.9,800,190,1,4,1,0.00050604,2.9881,0,2.7831e-05
2.1,7,0,1,2750,5,0.3,2300,18,2,6,2,0,1.5021,0,0.00013632
2.1,9,1,0,2300,9,0.3,3950,75,8,12,2,0,1.8648,0,2.8017e-05
2.1,5,1,0,7700,10,0.1,3650,149,6,2,3,0.000312,1.6175,0,3.6089e-05
2.1,4,0,0,2450,8,0,2000,72,6,4,1,0.0005376,0.53026,0,4.2134e-05
2.1,7,1,0,5750,3,0.7,700,255,8,14,1,0,2.2084,0,3.1598e-05
2.1,9,0,0,7600,9,0.2,4550,952,4,2,2,0.00079103,4.0278,0,2.7847e-05
2.1,2,1,1,9450,6,0.6,750,645,1,2,3,0.00031672,1.8658,0,0.00016957
2.1,6,0,0,3650,9,1,7200,21,4,8,2,0,6.0765,0,3.3126e-05
2.1,4,0,1,1550,1,0.6,1950,614,1,10,2,0,1.6626,0,0.00015169
2.1,1,0,0,8100,3,1,500,10,3,2,3,0.0001104,1.9758,0,0.00013528
2.1,3,0,1,8050,10,0.5,3600,46,5,6,2,0.00025526,1.6976,0,0.00015424
2.1,10,1,0,4050,6,0.3,7400,26,3,14,3,0,2.28,0,2.6248e-05
2.1,2,1,0,8450,10,0.6,4400,40,5,8,3,0.00014005,3.4992,0,6.9569e-05
2.1,10,0,1,8050,7,0.1,3200,20,5,10,2,0,1.4452,0,0.00013108
2.1,3,1,0,2800,8,1,2600,92,8,2,3,0.00031532,2.2956,0,4.9867e-05
2.1,3,0,0,9250,5,0.4,5100,26,10,2,1,0.0052992,2.05,0,4.9921e-05
2.1,6,1,0,7300,4,0.5,9350,27,10,14,2,0,2.5194,0,3.3507e-05
2.1,7,1,1,6550,8,0.8,3150,458,8,12,2,0,1.4509,0,0.00013152
2.1,1,0,0,3650,6,0.5,1700,59,9,2,3,0.00086016,1.5787,0,0.00011683
2.1,5,1,1,5800,5,0.6,7800,40,1,2,3,0.00037535,1.4978,0,0.00013609
2.1,6,1,1,7300,2,0.1,4200,75,4,4,3,0,1.4695,0,0.00013344
2.1,8,1,0,5450,1,0.8,6250,326,9,4,1,0.0010072,0.56805,0,2.9051e-05
2.1,7,0,1,1900,7,0.7,5150,92,7,16,2,0,1.5044,0,0.00013636
2.1,8,0,0,3250,9,0.5,3700,416,9,12,3,0,3.6716,0,2.857e-05
2.1,9,1,1,4800,8,0.2,8050,68,8,2,1,0.0012528,1.4092,0,0.00012818
2.1,1,0,1,4800,7,0.7,8000,106,5,8,1,0.00023025,2.4431,0,0.00022213
2.1,6,0,0,5100,8,0.9,6550,677,10,2,2,,6.4839,0,
2.1,3,0,0,5800,9,0.8,9300,59,2,8,3,0,4.1366,0,4.9101e-05
2.1,9,1,0,4250,7,0.5,8000,173,7,14,1,0,3.8439,0,2.8006e-05
2.1,6,1,1,4900,10,0.4,4500,46,9,6,3,0,1.47,0,0.00013347
2.1,4,1,1,1400,1,0.4,2300,36,7,4,3,0.00028021,1.5688,0,0.00014249
2.1,4,0,1,5700,7,0.1,5200,11,8,8,3,0,1.62,0,0.00014696
2.1,8,1,1,6150,6,0.5,6850,20,4,14,1,0,1.4224,0,0.00012898
2.1,6,1,1,4200,2,0.7,7150,96,7,2,3,0.00055893,1.4689,0,0.00013351
2.1,8,0,1,6250,1,0.9,2450,907,6,12,2,0,1.4735,0,0.00013366
2.1,2,0,0,6200,4,0.5,4800,12,9,4,2,7.68e-05,1.3984,0,6.8624e-05
2.1,8,0,0,1100,1,0.7,9100,142,7,2,3,0.00012819,0.39977,0,3.1272e-05
2.1,8,0,1,6800,8,0.7,5950,377,5,6,3,0,1.4727,0,0.00013372
2.1,9,1,0,7750,5,0.4,5250,36,9,2,2,0.00076577,3.9299,0,2.8093e-05
2.1,3,0,1,6850,9,0.4,8850,232,8,4,3,0.00025626,1.697,0,0.00015415
2.1,9,1,1,3900,2,0.8,550,10,3,8,2,0,1.4113,0,0.00012802
2.1,7,1,1,8050,4,0.7,8000,72,3,4,2,0,1.4495,0,0.00013158
2.1,2,1,0,2400,2,0.1,2250,181,2,4,3,8.7304e-05,0.81445,0,7.0321e-05
2.1,4,0,1,1300,8,0.2,8400,530,10,6,1,,1.5937,0,
2.1,7,1,1,6200,2,0.1,5000,42,6,4,3,0,1.4494,0,0.00013162
2.1,9,1,0,6800,4,0.8,9850,8,4,8,1,0,4.9022,0,2.8019e-05
2.1,5,1,1,8450,10,0.8,8050,530,3,14,2,0,1.501,0,0.00013601
2.1,8,1,0,8750,4,0.1,2200,190,1,10,2,0,1.3268,0,2.8913e-05
2.1,2,0,1,2200,2,1,4100,19,10,4,3,0.0007008,1.9106,0,0.00017364
2.1,7,1,1,9950,8,0.2,3850,232,8,2,1,0.00048655,1.4493,0,0.0001317
2.1,8,1,1,9150,10,0.1,9950,18,9,2,1,0.0046848,1.4202,0,0.00012953
2.1,3,0,1,6700,2,0.7,750,9,8,2,3,0.0001872,1.8049,0,0.00016618
2.1,1,1,1,2900,7,0.7,2500,13,6,2,3,0.0001104,2.4067,0,0.00021878
2.1,9,1,0,6150,7,0.3,5850,28,8,4,2,0,3.5026,0,2.8012e-05
2.1,9,0,0,9150,4,0,9300,79,9,2,1,0.0012528,0.8668,0,2.7951e-05
2.1,7,0,0,8550,8,0.5,1850,181,8,6,3,0,6.871,0,3.1301e-05
2.1,1,0,1,3000,8,0.7,4100,746,5,10,2,0.00010156,2.4387,0,0.00022156
2.1,8,0,0,6800,9,1,3900,416,5,2,2,0.000961627,13.6194,0,2.8781e-05
2.1,9,1,1,4200,4,0.9,9900,10,10,10,1,0,1.4114,0,0.00012802
2.1,7,1,1,2700,1,0.4,8300,310,5,2,1,0.0010947,1.4491,0,0.00013176
2.1,1,0,1,2250,6,0.2,1450,19,1,4,1,0.0033211,2.469,0,0.00022518
2.1,3,1,1,5950,5,0.7,2550,12,8,2,2,0.0001584,1.6499,0,0.00014993
2.1,6,0,1,550,5,0.2,5250,42,5,8,3,0,1.5218,0,0.00013817
2.1,8,0,1,3450,1,0.2,9300,907,9,4,1,0.0010032,1.4723,0,0.00013381
2.1,3,0,0,7750,6,0.4,1250,62,10,4,2,0.00033033,2.0547,0,4.9226e-05
2.1,10,1,0,8450,4,1,6250,92,4,8,1,0,8.0953,0,2.6236e-05
