Topology,car_cache,dynamo_stream,dynamo_ondemand,dynamo_writerate,dynamo_peakcapacity,dynamo_peaktime,dynamo_readrate,sqs_queue_size,sqs_timeout,lambda_parallel_instances,lambda_allocated_memory,latency,cost,reliability,scalability
2.2,2,1,1,7950,10,0.2,4850,458,1,7,6720,0,1.8648,0,0.00016941
2.2,9,0,1,2550,7,0.9,5150,614,5,36,5632,0,1.4618,0,0.00013264
2.2,5,1,1,1250,8,0.4,2600,11,3,87,4352,0,1.5104,0,0.00013707
2.2,4,0,1,8150,7,0.8,7700,677,9,10,1088,0,1.6163,0,0.00014691
2.2,10,0,0,8800,8,0.1,5950,25,4,54,7680,0,2.7325,0,2.6633e-05
2.2,2,1,1,7950,4,0.7,6900,23,5,87,2112,0,1.8697,0,0.00016996
2.2,7,0,1,8200,5,0.1,1750,585,3,50,2240,0,1.5005,0,0.0001362
2.2,2,1,1,3600,5,0.9,3650,42,4,30,3328,0,1.8656,0,0.00016957
2.2,10,1,1,4900,2,0.8,3700,11,8,88,256,0,1.3897,0,0.00012629
2.2,6,0,0,2350,7,0.7,750,173,8,16,1152,3.69952406138e-17,33776999.4042,0,-3752.99965642
2.2,8,1,0,3250,8,0.6,5850,505,10,53,6464,0,3.6096,0,3.0239e-05
2.2,3,0,1,900,8,0.8,3300,907,7,49,3968,0,1.6956,0,0.00015407
2.2,4,0,1,4000,2,0.2,2700,21,9,24,128,0,1.6167,0,0.00014695
2.2,3,1,0,2250,7,0.5,9350,106,6,77,704,0,1.1715,0,4.9754e-05
2.2,1,0,0,3050,5,0.5,9100,135,7,81,2368,0,1.5051,0,0.00011649
2.2,6,0,1,1750,8,0,900,952,6,33,6144,0,1.5197,0,0.00013807
2.2,10,0,0,7450,9,0.4,9000,157,4,30,448,4.2405e-17,8.0975,0,2.5935e-05
2.2,5,0,0,5650,4,0,8750,27,9,5,1600,0,0.58449,0,3.5646e-05
2.2,3,1,0,5400,4,0,4150,481,9,13,960,3.9535306499e-17,2111062.965,0,234.56253034
2.2,1,0,0,4300,2,1,7150,54,10,59,3072,0,1.4738,0,0.00011962
2.2,4,1,0,4300,3,0,8450,746,4,11,8768,0,0.56514,0,4.2409e-05
2.2,1,0,0,6650,4,0.9,7000,26,5,100,4544,0,1.8826,0,0.00011732
2.2,5,1,0,1400,9,0.4,2300,59,1,62,1344,0,1.0851,0,3.603e-05
2.2,9,1,1,4400,9,0.1,2000,123,10,52,256,0,1.3974,0,0.00012915
2.2,2,0,0,4250,7,0.3,5150,377,3,62,512,0,1.2796,0,6.8413e-05
2.2,7,0,0,7900,3,0.6,6200,210,1,33,256,0,2.7132,0,3.1223e-05
2.2,3,0,0,3100,10,0.7,3600,1000,7,95,256,0,2.3942,0,4.908e-05
2.2,1,0,1,7550,8,0.4,5500,9,3,90,256,0,2.4369,0,0.00022149
2.2,3,1,1,5100,3,0.2,8950,56,5,9,384,0,1.6477,0,0.00014975
2.2,5,0,0,7300,1,1,5500,359,2,82,8768,0,0.64539,0,3.5588e-05
2.2,3,1,1,6050,9,1,5700,17,7,74,384,4.4472e-17,1.6485,0,0.00014981
2.2,6,0,0,9000,2,0.6,5100,8,7,3,256,0,1.6943,0,3.3122e-05
2.2,2,1,0,2150,1,0.9,1750,40,9,37,448,0,0.89449,0,8.1204e-05
2.2,7,0,1,3100,6,1,7300,952,9,49,576,0,1.4995,0,0.00013624
2.2,1,0,0,1500,4,0.1,2300,135,4,29,9152,0,1.3844,0,0.00012512
2.2,4,1,0,6550,5,1,4200,310,4,60,192,0,3.6436,0,4.2403e-05
2.2,8,1,1,8400,9,0.2,750,26,6,21,1600,0,1.4196,0,0.00012897
2.2,4,0,0,5550,8,0.6,500,359,3,3,1536,0,3.3182,0,4.1896e-05
2.2,1,0,0,600,10,0.9,4800,557,9,90,1216,0,1.5595,0,0.00012507
2.2,2,1,0,7150,9,0.8,6150,21,6,85,448,4.443e-17,3.4903,0,6.9514e-05
2.2,1,1,1,7700,6,0.4,7550,173,2,74,128,0,2.4029,0,0.00021841
2.2,6,0,0,9050,2,0.9,4750,87,1,82,128,0,2.1827,0,3.3062e-05
2.2,3,0,0,9600,10,0.1,4250,9,10,68,1280,1.0066e-16,1.5049,0,4.9315e-05
2.2,8,0,0,6300,4,0.8,4200,19,8,100,320,6.9463365294e-17,90071996.8176,0,-10007.9991432
