Topology,car_cache,ec2_vcpus,ec2_memorylevel,ec2_instances,latency,cost,reliability,scalability
3,7,6,2,3,0.012667,0.18891,0,1.7155e-05
3,8,2,1,54,0.011417,0.17908,0,1.6262e-05
3,7,4,2,91,0.012111,0.18891,0,1.7155e-05
3,1,2,3,64,0.011611,0.22032,0,2.0013e-05
3,2,6,1,78,0.012111,0.22032,0,2.0013e-05
3,8,2,2,93,0.011611,0.17908,0,1.6262e-05
3,4,4,3,82,0.012111,0.19282,0,1.7513e-05
3,10,12,3,97,0.013889,0.17633,0,1.6012e-05
3,10,2,3,14,0.011611,0.17633,0,1.6012e-05
3,8,2,1,31,0.011417,0.17908,0,1.6262e-05
3,3,4,1,7,0.011889,0.18365,0,1.668e-05
3,9,12,1,78,0.013056,0.18366,0,1.6679e-05
3,9,14,1,91,0.013056,0.18366,0,1.6679e-05
3,9,8,2,1,0.013056,0.18366,0,1.6679e-05
3,1,2,2,5,0.012611,0.22032,0,2.0124e-05
3,7,10,2,40,0.013056,0.18891,0,1.7155e-05
3,6,6,1,77,0.012111,0.18366,0,1.6679e-05
3,8,2,3,39,0.011611,0.17908,0,1.6262e-05
3,5,2,1,45,0.011417,0.17632,0,1.6013e-05
3,1,2,2,83,0.011611,0.22032,0,2.0013e-05
3,3,2,1,5,0.012028,0.18365,0,1.6747e-05
3,1,2,2,68,0.011611,0.22032,0,2.0013e-05
3,4,14,1,18,0.013056,0.19283,0,1.7513e-05
3,9,10,3,83,0.013889,0.18366,0,1.6679e-05
3,10,2,1,50,0.011417,0.17633,0,1.6012e-05
3,8,4,1,54,0.011889,0.17908,0,1.6262e-05
3,10,2,1,92,0.011417,0.17634,0,1.6011e-05
3,1,6,1,59,0.012111,0.22032,0,2.0013e-05
3,9,10,2,63,0.013056,0.18367,0,1.6678e-05
3,3,4,2,16,0.012111,0.18365,0,1.668e-05
3,5,10,2,40,0.013056,0.17632,0,1.6013e-05
3,2,2,1,32,0.011417,0.22032,0,2.0013e-05
3,9,4,1,14,0.011889,0.18366,0,1.6679e-05
3,8,6,3,98,0.012667,0.17908,0,1.6262e-05
3,5,2,1,14,0.011417,0.17632,0,1.6013e-05
3,2,6,3,18,0.012667,0.22032,0,2.0013e-05
3,1,6,1,27,0.012111,0.22032,0,2.0013e-05
3,1,2,2,89,0.011611,0.22032,0,2.0013e-05
3,10,2,2,14,0.011611,0.17633,0,1.6012e-05
3,4,6,1,37,0.012111,0.19283,0,1.7513e-05
3,9,2,3,83,0.011611,0.18366,0,1.6679e-05
3,4,4,2,41,0.012111,0.19282,0,1.7513e-05
3,1,2,2,71,0.011611,0.22032,0,2.0013e-05
3,10,2,2,77,0.011611,0.17633,0,1.6012e-05
3,10,8,1,28,0.012667,0.17633,0,1.6012e-05
3,2,2,2,73,0.011611,0.22032,0,2.0013e-05
3,6,12,3,44,0.013889,0.18367,0,1.6679e-05
3,10,2,1,42,0.011417,0.17633,0,1.6012e-05
3,2,2,1,29,0.011417,0.22032,0,2.0013e-05
3,5,2,2,51,0.011611,0.17633,0,1.6013e-05
3,10,14,2,41,0.013889,0.17633,0,1.6012e-05
3,10,14,3,66,0.015833,0.17633,0,1.6012e-05
3,1,2,2,9,0.013611,0.22032,0,2.0235e-05
3,10,4,2,91,0.012111,0.17633,0,1.6012e-05
3,10,8,2,51,0.013056,0.17633,0,1.6012e-05
3,9,4,2,26,0.012111,0.18366,0,1.6679e-05
3,1,2,2,87,0.011611,0.22032,0,2.0013e-05
3,6,2,2,51,0.011611,0.18366,0,1.6679e-05
3,2,2,1,56,0.011417,0.22032,0,2.0013e-05
3,8,6,3,55,0.012667,0.17908,0,1.6262e-05
3,6,2,3,12,0.011611,0.18367,0,1.6679e-05
3,7,12,3,94,0.013889,0.18891,0,1.7155e-05
