Topology,fargate_vcpus,fargate_memorylevel,car_cache,latency,cost,reliability,scalability
1.1,10,3,8,0,0.18263,0,1.6263e-05
1.1,12,2,10,0,0.18003,0,1.6013e-05
1.1,6,3,7,0,0.19097,0,1.7156e-05
1.1,6,2,7,0,0.19067,0,1.7156e-05
1.1,2,1,5,0.00012,0.17779,0,1.6148e-05
1.1,2,3,3,0.0001008,0.1849,0,1.6766e-05
1.1,2,1,3,0.000216,0.18604,0,1.6928e-05
1.1,2,1,5,0.00012,0.17779,0,1.6148e-05
1.1,6,1,2,6.72e-05,0.22443,0,2.0313e-05
1.1,4,1,3,0.0001008,0.18633,0,1.6886e-05
1.1,2,2,1,0.0003984,0.22461,0,2.0398e-05
1.1,4,2,2,4.8e-05,0.22284,0,2.0174e-05
1.1,2,1,10,0.000624,0.17712,0,1.6129e-05
1.1,10,2,7,0,0.19197,0,1.7156e-05
1.1,6,1,2,6.72e-05,0.22443,0,2.0313e-05
1.1,2,1,9,0.0003024,0.18452,0,1.6768e-05
1.1,2,1,6,0.0002016,0.18491,0,1.68e-05
1.1,6,1,10,0,0.1778,0,1.6013e-05
1.1,10,1,2,0.0001248,0.22497,0,2.0259e-05
1.1,4,1,9,0.0003888,0.1848,0,1.6747e-05
1.1,2,3,9,0,0.18423,0,1.668e-05
1.1,8,3,7,0,0.19171,0,1.7156e-05
1.1,6,3,4,0,0.19489,0,1.7513e-05
1.1,4,2,2,4.8e-05,0.22284,0,2.0174e-05
1.1,2,2,6,8.64e-05,0.1845,0,1.673e-05
1.1,4,1,1,0.0003984,0.22772,0,2.0679e-05
1.1,2,3,1,7.2e-05,0.22364,0,2.0326e-05
1.1,2,2,10,0.000288,0.17689,0,1.6055e-05
1.1,6,2,1,3.36e-05,0.2252,0,2.0362e-05
1.1,6,1,1,7.2e-05,0.22785,0,2.0694e-05
1.1,8,1,7,0,0.19092,0,1.7156e-05
1.1,8,3,10,0,0.17913,0,1.6013e-05
1.1,12,2,5,0,0.18003,0,1.6013e-05
1.1,10,3,10,0,0.17988,0,1.6013e-05
1.1,2,3,5,0.000216,0.17715,0,1.6065e-05
1.1,2,2,6,8.64e-05,0.1845,0,1.673e-05
1.1,2,3,5,0.000216,0.17715,0,1.6065e-05
1.1,4,2,9,0,0.18477,0,1.668e-05
1.1,2,3,4,5.76e-05,0.19381,0,1.7566e-05
1.1,4,2,5,0.000144,0.17762,0,1.6049e-05
1.1,2,2,8,0.0004224,0.17974,0,1.6332e-05
1.1,2,1,3,0.000216,0.18604,0,1.6928e-05
1.1,2,3,2,6.72e-05,0.22209,0,2.0153e-05
1.1,4,3,7,0,0.19022,0,1.7156e-05
1.1,2,1,6,0.0002016,0.18491,0,1.68e-05
1.1,2,1,2,0.0007968,0.22393,0,2.0316e-05
1.1,6,1,2,6.72e-05,0.22443,0,2.0313e-05
1.1,2,3,10,0,0.1769,0,1.6013e-05
1.1,14,2,4,0,0.19718,0,1.7513e-05
1.1,2,1,9,0.0003024,0.18452,0,1.6768e-05
1.1,4,2,10,0,0.17744,0,1.6013e-05
1.1,2,1,8,0.000192,0.18004,0,1.635e-05
1.1,2,1,8,0.000192,0.18004,0,1.635e-05
1.1,8,2,5,0,0.17874,0,1.6013e-05
1.1,8,3,2,9.6e-06,0.22325,0,2.0028e-05
1.1,4,1,1,0.0003984,0.22772,0,2.0679e-05
1.1,14,1,10,0,0.17999,0,1.6013e-05
1.1,4,3,8,0,0.18039,0,1.6263e-05
1.1,6,1,4,5.76e-05,0.19522,0,1.7622e-05
1.1,2,2,2,0.0001056,0.2225,0,2.0215e-05
1.1,2,2,5,0.000312,0.17729,0,1.6103e-05
1.1,6,3,2,8.64e-05,0.22283,0,2.0073e-05
1.1,10,2,7,0,0.19197,0,1.7156e-05
1.1,4,3,6,0,0.18498,0,1.668e-05
1.1,8,1,9,0,0.18567,0,1.668e-05
