Topology,lambda_parallel_instances,lambda_allocated_memory,car_cache,latency,cost,reliability,scalability
1.2,32,1472,6,4.4503e-17,0.186,0,1.668e-05
1.2,97,1024,1,0,0.22528,0,2.0013e-05
1.2,29,256,6,0,0.1838,0,1.668e-05
1.2,14,576,6,0,0.18387,0,1.668e-05
1.2,97,320,7,1.0103e-16,0.19008,0,1.7156e-05
1.2,40,896,5,0,0.17794,0,1.6013e-05
1.2,69,448,4,4.4453e-17,0.19404,0,1.7513e-05
1.2,48,1088,10,0,0.17885,0,1.6013e-05
1.2,78,256,10,0,0.17698,0,1.6013e-05
1.2,19,1664,6,0,0.18523,0,1.668e-05
1.2,4,128,8,0,0.17892,0,1.6263e-05
1.2,22,448,3,4.4453e-17,0.18392,0,1.668e-05
1.2,17,128,8,0,0.17898,0,1.6263e-05
1.2,99,1216,6,0,0.18971,0,1.668e-05
1.2,9,512,7,0,0.18895,0,1.7156e-05
1.2,53,256,5,0,0.17671,0,1.6013e-05
1.2,22,832,3,4.4429e-17,0.18439,0,1.668e-05
1.2,13,2048,8,0,0.18041,0,1.6263e-05
1.2,19,2112,5,0,0.17842,0,1.6013e-05
1.2,11,3200,2,0,0.22226,0,2.0013e-05
1.2,20,3200,8,0,0.18274,0,1.6263e-05
1.2,18,320,9,5.5957e-17,0.18373,0,1.668e-05
1.2,89,384,9,4.4506e-17,0.18496,0,1.668e-05
1.2,26,832,10,0,0.17723,0,1.6013e-05
1.2,54,3648,2,0,0.23197,0,2.0013e-05
1.2,94,1152,8,0,0.1845,0,1.6263e-05
1.2,22,256,8,0,0.17913,0,1.6263e-05
1.2,92,128,8,0,0.17933,0,1.6263e-05
1.2,82,320,7,1.0103e-16,0.18987,0,1.7156e-05
1.2,14,320,2,0,0.22034,0,2.0013e-05
1.2,75,128,7,0,0.18908,0,1.7156e-05
1.2,40,832,8,0,0.18056,0,1.6263e-05
1.2,92,9152,6,4.4484e-17,0.23962,0,1.668e-05
1.2,93,768,2,0,0.2236,0,2.0013e-05
1.2,4,512,5,0,0.17624,0,1.6013e-05
1.2,27,1408,5,8.2005e-17,0.17824,0,1.6013e-05
1.2,80,2944,2,4.442e-17,0.23389,0,2.0013e-05
1.2,70,256,10,0,0.1769,0,1.6013e-05
1.2,32,960,5,0,0.17769,0,1.6013e-05
1.2,34,448,7,0,0.18942,0,1.7156e-05
1.2,49,896,3,0,0.18567,0,1.668e-05
1.2,37,256,10,0,0.17655,0,1.6013e-05
1.2,81,960,2,0,0.22404,0,2.0013e-05
1.2,33,256,5,0,0.1765,0,1.6013e-05
1.2,51,384,8,4.4472e-17,0.17975,0,1.6263e-05
1.2,95,704,7,9.3697e-17,0.19202,0,1.715e-05
1.2,32,192,1,0,0.22038,0,2.0013e-05
1.2,81,384,7,5.6825e-17,0.19008,0,1.7156e-05
1.2,15,4352,3,0,0.1875,0,1.668e-05
1.2,6,3648,7,0,0.19005,0,1.7156e-05
1.2,49,6464,4,0,0.21324,0,1.7513e-05
1.2,62,7680,9,0,0.21443,0,1.6679e-05
1.2,3,384,8,4.4472e-17,0.17895,0,1.6263e-05
1.2,11,448,8,4.4548e-17,0.17912,0,1.6263e-05
1.2,96,384,3,0,0.18508,0,1.668e-05
1.2,79,4160,1,0,0.24041,0,2.0013e-05
1.2,59,704,8,4.4507e-17,0.18091,0,1.6263e-05
1.2,86,2560,8,0,0.19174,0,1.6263e-05
1.2,40,3328,6,Inf,0.19525,0,Inf
1.2,82,256,9,0,0.18436,0,1.668e-05
1.2,57,192,5,0,0.17657,0,1.6013e-05
1.2,98,128,9,0,0.18394,0,1.668e-05
1.2,80,576,8,0,0.18105,0,1.6263e-05
1.2,86,1664,7,0,0.1966,0,1.7156e-05
1.2,17,1536,2,0,0.22154,0,2.0013e-05
1.2,87,448,2,4.443e-17,0.2219,0,2.0013e-05
1.2,43,1408,9,0,0.18671,0,1.668e-05
1.2,44,256,6,0,0.18396,0,1.668e-05
1.2,77,896,10,0,0.1796,0,1.6013e-05
1.2,39,128,7,0,0.18891,0,1.7156e-05
1.2,63,7680,1,0,0.2516,0,2.0013e-05
1.2,42,4736,2,4.4422e-17,0.23241,0,2.0013e-05
1.2,44,384,8,4.4472e-17,0.17963,0,1.6263e-05
1.2,86,192,5,0,0.17678,0,1.6013e-05
1.2,27,7040,9,0,0.19584,0,1.6679e-05
1.2,16,7040,1,0,0.22747,0,2.0013e-05
1.2,67,1408,5,8.2005e-17,0.18134,0,1.6013e-05
1.2,16,960,3,0,0.18425,0,1.668e-05
1.2,90,2240,2,5.5977e-17,0.23157,0,2.0013e-05
1.2,52,1216,9,1.0854e-16,0.1868,0,1.6685e-05
1.2,30,128,10,0,0.17629,0,1.6013e-05
1.2,43,128,10,0,0.17635,0,1.6013e-05
1.2,90,8000,3,0,0.23148,0,1.668e-05
1.2,51,6464,4,0,0.21408,0,1.7513e-05
1.2,17,960,3,0,0.18429,0,1.668e-05
1.2,98,576,10,5.7456e-17,0.17879,0,1.6013e-05
1.2,67,7040,2,0,0.25081,0,2.0013e-05
1.2,32,3200,9,0,0.18963,0,1.6679e-05
1.2,61,256,4,0,0.1933,0,1.7513e-05
1.2,86,5376,7,4.4519e-17,0.21801,0,1.7155e-05
1.2,47,192,7,0,0.18908,0,1.7156e-05
1.2,57,256,10,0,0.17676,0,1.6013e-05
1.2,73,576,2,0,0.22211,0,2.0013e-05
1.2,34,320,5,4.4484e-17,0.17662,0,1.6013e-05
1.2,17,448,5,4.4489e-17,0.17649,0,1.6013e-05
1.2,91,6144,8,0,0.21431,0,1.6263e-05
1.2,20,2560,2,0,0.22313,0,2.0013e-05
1.2,91,192,6,0,0.18416,0,1.668e-05
1.2,65,3776,8,3.2331e-17,0.19383,0,1.624e-05
1.2,3,256,1,0,0.22018,0,2.0013e-05
1.2,100,256,1,0,0.22121,0,2.0013e-05
1.2,55,512,9,0,0.1848,0,1.668e-05
1.2,20,448,7,0,0.18913,0,1.7156e-05
1.2,16,1472,4,0,0.19391,0,1.7513e-05
1.2,15,2560,3,0,0.18572,0,1.668e-05
1.2,72,704,4,5.6018e-17,0.1951,0,1.7513e-05
1.2,23,640,5,4.4453e-17,0.17686,0,1.6013e-05
1.2,79,128,9,0,0.18385,0,1.668e-05
1.2,76,256,5,0,0.17696,0,1.6013e-05
1.2,92,2432,1,0,0.23283,0,2.0013e-05
1.2,7,1408,7,4.1508e-17,0.18926,0,1.7157e-05
1.2,40,960,5,0,0.17807,0,1.6013e-05
1.2,92,256,8,0,0.17988,0,1.6263e-05
1.2,57,512,1,0,0.22151,0,2.0013e-05
1.2,89,3776,9,0,0.20365,0,1.6679e-05
1.2,31,320,1,4.4418e-17,0.22058,0,2.0013e-05
1.2,59,576,7,5.633e-17,0.19032,0,1.7156e-05
1.2,12,320,6,1.0039e-16,0.18366,0,1.668e-05
1.2,36,896,10,0,0.17776,0,1.6013e-05
1.2,16,9600,6,4.4571e-17,0.19373,0,1.668e-05
1.2,2,4736,1,4.4422e-17,0.22073,0,2.0013e-05
1.2,78,512,7,0,0.19059,0,1.7156e-05
1.2,9,1216,7,0,0.1893,0,1.7156e-05
1.2,49,3328,8,0,0.18869,0,1.6263e-05
1.2,19,1088,1,5.5733e-17,0.22122,0,2.0013e-05
1.2,28,9984,10,0,0.19479,0,1.6013e-05
1.2,2,1472,10,4.4645e-17,0.17631,0,1.6013e-05
1.2,66,3648,1,0,0.23459,0,2.0013e-05
1.2,81,704,1,5.5698e-17,0.2229,0,2.0013e-05
1.2,80,256,8,0,0.17975,0,1.6263e-05
1.2,95,1728,6,0,0.19252,0,1.668e-05
1.2,83,6144,4,0,0.22495,0,1.7513e-05
1.2,9,128,5,0,0.17619,0,1.6013e-05
1.2,4,6464,5,0,0.17783,0,1.6013e-05
1.2,44,3456,6,0,0.19261,0,1.668e-05
1.2,88,128,9,0,0.18389,0,1.668e-05
1.2,1,320,1,4.4418e-17,0.22016,0,2.0013e-05
1.2,28,4352,8,0,0.18642,0,1.6263e-05
1.2,44,704,3,5.6018e-17,0.18498,0,1.668e-05
1.2,17,1216,2,5.1412e-17,0.22123,0,2.0015e-05
1.2,14,960,5,0,0.17682,0,1.6013e-05
1.2,30,1152,1,0,0.22193,0,2.0013e-05
1.2,30,128,7,0,0.18887,0,1.7156e-05
1.2,8,256,2,0,0.22023,0,2.0013e-05
1.2,41,1472,8,0,0.18212,0,1.6263e-05
1.2,4,2688,8,3.3722e-17,0.17954,0,1.6262e-05
1.2,30,7360,6,0,0.19784,0,1.668e-05
1.2,12,704,5,5.6505e-17,0.17656,0,1.6013e-05
1.2,96,256,5,0,0.17717,0,1.6013e-05
1.2,24,256,7,0,0.18899,0,1.7156e-05
1.2,63,2944,10,0,0.18697,0,1.6013e-05
1.2,62,320,3,0,0.18434,0,1.668e-05
1.2,45,128,2,0,0.22036,0,2.0013e-05
1.2,8,7360,2,0,0.22398,0,2.0013e-05
1.2,37,6464,7,0,0.20428,0,1.7155e-05
1.2,63,8384,6,0,0.21871,0,1.668e-05
1.2,29,256,10,0,0.17646,0,1.6013e-05
1.2,66,1408,6,4.4521e-17,0.18845,0,1.668e-05
1.2,91,320,2,0,0.22141,0,2.0013e-05
1.2,35,832,9,4.4468e-17,0.18494,0,1.668e-05
1.2,4,9984,5,0,0.17881,0,1.6013e-05
1.2,82,8000,1,0,0.26388,0,2.0013e-05
1.2,41,192,8,0,0.1792,0,1.6263e-05
1.2,3,2368,5,0,0.17655,0,1.6013e-05
1.2,59,320,9,5.5957e-17,0.1843,0,1.668e-05
1.2,49,1472,4,0,0.1965,0,1.7513e-05
1.2,31,320,6,1.0039e-16,0.18392,0,1.668e-05
1.2,70,3072,4,0,0.20519,0,1.7513e-05
1.2,75,128,6,0,0.18384,0,1.668e-05
1.2,10,256,7,0,0.18884,0,1.7156e-05
1.2,86,3072,1,0,0.23556,0,2.0013e-05
1.2,95,1024,10,0,0.18118,0,1.6013e-05
1.2,32,3776,9,0,0.19073,0,1.6679e-05
1.2,90,320,7,1.0103e-16,0.18998,0,1.7156e-05
1.2,75,3456,6,0,0.19904,0,1.668e-05
1.2,81,7040,3,0,0.22055,0,1.668e-05
1.2,89,9152,6,4.4484e-17,0.23779,0,1.668e-05
1.2,76,1792,8,0,0.18639,0,1.6263e-05
1.2,6,2688,9,4.4545e-17,0.18442,0,1.6679e-05
1.2,85,4352,1,0,0.24296,0,2.0013e-05
1.2,72,512,5,0,0.17787,0,1.6013e-05
1.2,22,256,5,0,0.17638,0,1.6013e-05
1.2,77,7040,3,0,0.21871,0,1.668e-05
1.2,32,2816,6,Inf,0.19123,0,-Inf
1.2,10,1088,8,5.5733e-17,0.17946,0,1.6263e-05
1.2,46,2944,10,0,0.18405,0,1.6013e-05
1.2,61,192,5,0,0.1766,0,1.6013e-05
1.2,41,1472,8,0,0.18212,0,1.6263e-05
1.2,52,1152,9,5.7563e-17,0.18658,0,1.668e-05
1.2,26,5376,6,4.4486e-17,0.19234,0,1.668e-05
1.2,60,1344,9,0,0.18778,0,1.668e-05
1.2,34,128,3,0,0.18364,0,1.668e-05
1.2,40,8768,2,0,0.24353,0,2.0013e-05
1.2,73,9152,7,7.3082e-17,0.23327,0,1.7155e-05
1.2,21,896,1,0,0.22109,0,2.0013e-05
1.2,63,2816,10,4.4545e-17,0.1865,0,1.6013e-05
1.2,76,3456,8,0,0.19466,0,1.6263e-05
1.2,75,192,2,0,0.2207,0,2.0013e-05
1.2,34,1664,7,0,0.19184,0,1.7156e-05
1.2,15,960,4,0,0.19337,0,1.7513e-05
1.2,96,192,6,0,0.1842,0,1.668e-05
1.2,17,960,10,0,0.17697,0,1.6013e-05
1.2,98,704,7,9.3697e-17,0.19212,0,1.7149e-05
