Topology,car_cache,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,fargate_vcpus,fargate_memorylevel,latency,cost,reliability,scalability
1.3,8,1,1,7600,0.8,6,1,3.84e-05,0.010436,0,1.133e-08
1.3,5,0,1,4400,1,2,3,0.000216,106.8764,0,5.203006e-08
1.3,2,1,0,800,0.8,10,1,0.0001248,0.0050502,0,2.4542e-07
1.3,1,1,1,2400,0.2,2,3,7.2e-05,0.012214,0,3.1305e-07
1.3,3,1,1,950,0,12,3,0,0.0132,0,-9.3765e-11
1.3,6,0,0,3150,0.7,2,2,8.64e-05,77.701,0,4.96906e-08
1.3,7,0,0,5300,0.5,14,1,0,134.1038,0,-2.187842e-10
1.3,5,0,0,1950,0,2,1,0.00012,23.4016,0,1.35078e-07
1.3,2,0,0,1300,0.7,4,3,2.88e-05,10.5023,0,9.59869e-08
1.3,4,0,0,1650,0.2,16,3,0,18.906,0,-1.25056e-10
1.3,4,0,0,5300,0.2,6,2,1.92e-05,61.202,0,1.06394e-08
1.3,7,0,0,7400,0.9,4,2,0,238.2013,0,-2.187842e-10
1.3,8,1,1,600,0.2,6,2,0,0.010667,0,-2.5042e-10
1.3,9,1,1,9700,0.2,2,2,0.0003888,0.0095021,0,5.7303e-08
1.3,6,1,0,8100,0.1,2,2,8.64e-05,0.0012341,0,4.9691e-08
1.3,10,0,0,2000,0.9,2,3,0,92.1007,0,-3.13283e-10
1.3,4,1,0,600,1,2,1,0.0002112,0.0022203,0,1.8425e-07
1.3,3,0,1,1050,1,2,1,0.000216,15.3134,0,2.48205e-07
1.3,3,1,0,2350,0.5,2,3,0.0001008,0.0016409,0,8.5717e-08
1.3,6,1,1,600,0.8,2,1,0.0002016,0.010151,0,1.1973e-07
1.3,8,0,1,4400,0.8,4,3,0,153.4173,0,-2.504152e-10
1.3,10,1,1,3900,0.3,4,3,0,0.010218,0,-3.1328e-10
1.3,8,1,1,6950,0.8,16,2,0,0.013904,0,-2.5042e-10
1.3,5,0,1,7150,0.6,2,2,0.000312,138.4139,0,8.917401e-08
1.3,6,0,0,550,0.7,16,2,0,13.5052,0,-1.87907e-10
1.3,8,0,0,2650,0.5,2,2,0.0004224,76.5008,0,6.82607e-08
1.3,6,1,1,650,0.8,6,3,0,0.010963,0,-1.8791e-10
1.3,3,0,1,950,0.5,2,2,0.0001008,10.2104,0,1.26188e-07
1.3,10,1,1,4300,0.2,2,3,0,0.0094718,0,-3.1328e-10
1.3,6,1,0,1900,0.8,4,2,2.88e-05,0.0015707,0,8.7662e-09
1.3,1,0,1,850,0.4,10,3,4.32e-05,3.0076,0,1.457e-07
1.3,7,1,0,4050,0.8,2,1,0.0004368,0.0014863,0,1.2755e-07
1.3,4,0,1,4700,0.3,8,2,0,59.1581,0,-1.25056e-10
1.3,6,1,0,700,0.3,4,3,0,0.0017165,0,-1.8791e-10
1.3,6,0,0,800,1,10,2,0,23.4032,0,-1.87907e-10
1.3,2,0,1,1650,0.4,2,2,0.0001056,11.1123,0,2.01555e-07
1.3,4,0,0,3050,1,2,3,5.76e-05,59.1012,0,5.26996e-08
1.3,9,0,0,1950,0.3,4,2,0,55.2013,0,-2.8186e-10
1.3,4,0,0,7850,0.2,6,3,0,90.6022,0,-1.25056e-10
1.3,4,0,1,7150,0.6,10,3,0,110.4939,0,-1.250561e-10
1.3,5,0,0,1700,0,2,3,0.000216,20.401,0,5.20301e-08
1.3,6,0,0,4150,0.9,2,2,8.64e-05,114.301,0,4.969061e-08
1.3,1,1,1,550,0.8,14,1,6.24e-05,0.017554,0,5.6155e-07
1.3,1,0,0,1400,0.6,16,3,4.8e-06,5.4062,0,2.703e-08
1.3,7,1,0,2550,0.7,8,1,0,0.0024189,0,-2.1878e-10
1.3,2,0,1,3150,0.8,12,2,9.6e-06,27.6248,0,1.82664e-08
1.3,1,1,1,2700,0.9,8,3,1.44e-05,0.013378,0,1.8727e-07
1.3,7,1,1,9400,0,16,1,0,0.013113,0,-2.1878e-10
1.3,6,1,1,2000,0.7,2,1,0.0002016,0.010151,0,1.1973e-07
1.3,10,0,1,2800,0.5,2,1,0.000624,101.4874,0,1.153425e-07
1.3,5,1,1,600,0.6,2,1,0.00012,0.01037,0,1.3508e-07
1.3,6,1,1,5150,0.7,4,3,0,0.010217,0,-1.8791e-10
1.3,4,1,1,6000,1,2,2,9.6e-05,0.01007,0,8.8222e-08
1.3,1,0,0,550,0.9,6,1,7.2e-05,2.4077,0,6.8086e-07
1.3,8,1,0,1850,0.6,6,1,3.84e-05,0.0019365,0,1.133e-08
1.3,3,0,0,4150,0.1,2,1,0.000216,33.0026,0,2.48205e-07
1.3,7,1,0,3700,0.4,16,2,0,0.0054033,0,-2.1878e-10
1.3,4,1,1,10000,1,8,3,0,0.011708,0,-1.2506e-10
1.3,10,1,1,1450,0.5,2,2,0.000288,0.0094636,0,4.1756e-08
1.3,10,1,0,5150,0.1,2,2,0.000288,0.00096363,0,4.1756e-08
1.3,4,1,0,9150,1,4,2,0.0002112,0.0019067,0,6.6497e-08
1.3,7,0,1,4700,0.2,2,3,0.0001344,95.1957,0,2.30047e-08
1.3,3,0,1,6000,1,6,2,0.0001296,87.364,0,5.74618e-08
1.3,10,1,0,600,0.9,12,3,0,0.0047023,0,-3.1328e-10
1.3,10,0,1,2800,0.2,16,3,0,81.0867,0,-3.13283e-10
1.3,1,0,1,3550,0.4,8,1,5.28e-05,12.0187,0,6.49474e-07
1.3,4,1,1,1900,0,2,1,0.0002112,0.01072,0,1.8425e-07
1.3,4,0,1,1450,0.8,16,3,0,25.5251,0,-1.25056e-10
1.3,2,0,0,9400,0.7,2,1,0.0007968,77.4038,0,3.03013e-07
1.3,10,1,1,700,0.7,4,2,0,0.01002,0,-3.1328e-10
1.3,8,0,1,2250,0.6,4,3,0,69.3582,0,-2.50415e-10
1.3,2,1,1,1950,0.8,2,1,0.0007968,0.012508,0,3.0301e-07
1.3,10,0,0,650,0.4,4,3,0,21.9015,0,-3.13283e-10
1.3,10,0,1,650,0,14,3,0,15.6231,0,-3.13283e-10
1.3,7,0,0,4400,0,10,3,0,73.8037,0,-2.18784e-10
1.3,2,0,0,1000,0.9,2,3,6.72e-05,9.0019,0,1.4005e-07
1.3,7,1,1,2250,1,4,1,0.0002016,0.010261,0,7.0942e-08
1.3,1,1,1,3150,0,2,1,0.000744,0.016271,0,6.2905e-07
1.3,4,0,0,8850,0.4,2,3,5.76e-05,119.4012,0,5.269964e-08
1.3,6,0,1,9150,0.7,14,1,0,225.7807,0,-1.879068e-10
1.3,6,1,1,1550,1,2,2,8.64e-05,0.0097341,0,4.9691e-08
1.3,6,0,0,750,0,6,2,0,10.8019,0,-1.87907e-10
1.3,6,0,1,1200,0,2,3,0.0002592,17.4207,0,4.51923e-08
1.3,4,0,1,3450,0.9,2,3,5.76e-05,63.6475,0,5.26996e-08
1.3,5,1,1,800,0.9,10,2,0,0.011961,0,-1.5636e-10
1.3,9,1,0,600,0,2,3,0,0.00097143,0,-2.8186e-10
1.3,6,1,0,5450,0.3,2,1,0.0002016,0.0016505,0,1.1973e-07
1.3,4,0,0,5650,0.4,4,3,1.92e-05,76.2016,0,8.64038e-09
1.3,9,1,0,550,0.2,4,3,0,0.0017175,0,-2.8186e-10
1.3,8,0,1,5800,0,8,1,0,111.4296,0,-2.504152e-10
1.3,1,0,0,950,0.1,4,1,0.0003984,2.4076,0,6.6532e-07
1.3,1,0,0,1150,0.5,14,1,6.24e-05,4.2088,0,5.6155e-07
1.3,2,1,1,2200,0.4,2,1,0.0007968,0.012508,0,3.0301e-07
1.3,8,1,1,2000,0.8,6,2,0,0.010667,0,-2.5042e-10
1.3,7,0,1,750,0.8,6,2,0,23.1193,0,-2.18784e-10
1.3,9,0,0,5300,0.9,2,2,0.0003888,219.6008,0,5.730332e-08
1.3,6,0,1,5000,0.5,12,1,0,108.6959,0,-1.879068e-10
1.3,3,0,1,8350,0,6,1,0.0001008,60.0719,0,1.75673e-07
1.3,7,0,1,1400,0.8,16,1,0,42.6366,0,-2.18784e-10
1.3,5,0,1,650,0,8,1,0.000144,7.8114,0,4.9976e-08
1.3,3,1,0,3050,0.1,12,2,0,0.0041073,0,-9.3765e-11
1.3,7,1,0,1450,0.1,4,1,0.0002016,0.0017606,0,7.0942e-08
1.3,6,1,0,1950,0.8,12,3,0,0.004701,0,-1.8791e-10
1.3,7,1,1,3450,0.5,2,2,0.0002016,0.0096309,0,5.0952e-08
1.3,7,0,1,2050,0,2,1,0.0004368,34.5407,0,1.2755e-07
1.3,2,0,0,700,0.9,2,1,0.0007968,6.3038,0,3.0301e-07
1.3,10,0,0,850,1,2,3,0,41.1007,0,-3.13283e-10
1.3,8,0,1,3450,0.7,2,1,0.000192,113.4901,0,8.690958e-08
1.3,10,0,1,600,0.9,12,3,0,27.6246,0,-3.13283e-10
1.3,8,0,0,1200,0.3,2,3,3.84e-05,30.0008,0,7.3323e-09
1.3,8,0,1,5650,0,12,3,0,108.7287,0,-2.504152e-10
1.3,2,1,0,7600,0.7,2,1,0.0007968,0.0040079,0,3.0301e-07
1.3,10,0,0,3800,0.5,4,1,0.000288,137.4013,0,4.875289e-08
1.3,5,0,0,3900,0.1,14,2,0,51.6045,0,-1.56357e-10
1.3,8,0,0,8100,0.8,2,3,3.84e-05,282.0008,0,7.332301e-09
1.3,1,1,1,2150,0.4,2,1,0.000744,0.016271,0,6.2905e-07
1.3,10,1,0,1300,0.9,12,2,0,0.0041097,0,-3.1328e-10
1.3,9,0,0,5300,0.6,2,2,0.0003888,184.5008,0,5.730332e-08
1.3,2,0,1,7400,0.6,14,2,0,57.0511,0,-6.25073e-11
1.3,3,0,1,2500,0.5,4,2,4.32e-05,27.0251,0,8.52633e-08
1.3,8,0,1,1000,0.2,4,1,0.0004224,23.1245,0,8.32533e-08
1.3,2,0,1,700,0.8,2,2,0.0001056,6.0069,0,2.0156e-07
1.3,3,0,0,4150,1,2,1,0.000216,60.3026,0,2.48205e-07
1.3,3,0,0,850,0.9,10,3,0,11.7037,0,-9.37648e-11
1.3,6,0,1,650,0.6,2,3,0.0002592,15.0132,0,4.51923e-08
1.3,7,1,0,2150,0,2,3,0.0001344,0.0010454,0,2.3005e-08
1.3,1,0,1,1450,1,10,2,6.24e-05,6.9106,0,2.8022e-07
1.3,4,0,1,700,0.2,2,1,0.0002112,8.1101,0,1.8425e-07
1.3,1,0,1,8100,0.3,6,3,3.36e-05,25.2281,0,2.27535e-07
1.3,10,1,0,850,0.8,4,1,0.000288,0.0014764,0,4.8753e-08
