Topology,lambda_parallel_instances,lambda_allocated_memory,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,car_cache,latency,cost,reliability,scalability
1.4,73,1856,1,0,1500,0.2,10,0,0.0076824,0,-5.3726e-10
1.4,15,448,1,0,1300,0.8,6,4.4453e-17,0.00053151,0,-1.8278e-10
1.4,63,1152,0,0,750,0.7,3,0,9.4209,0,-1.3026e-10
1.4,10,576,0,0,700,0.9,1,0,3.3476,0,-1.1724e-11
1.4,8,512,1,1,1900,0.7,7,0,0.0099443,0,-2.4466e-10
1.4,79,192,0,1,3900,0.4,2,0,26.2731,0,3.04369e-11
1.4,61,1408,0,0,950,0.2,9,0,25.0062,0,-4.53183e-10
1.4,53,192,1,0,6750,0.6,8,0,0.00061682,0,-1.2881e-10
1.4,50,192,0,0,3050,0,9,0,66.377,0,-1.57438e-10
1.4,74,4736,0,0,7400,0.4,3,0,75.5234,0,-2.01947e-10
1.4,91,128,1,0,1100,0.5,6,0,0.000661,0,-1.7195e-11
1.4,9,128,1,0,1200,0.1,1,0,0.00027482,0,9.6506e-11
1.4,98,2688,1,1,9400,0.2,6,4.45e-17,0.027497,0,-3.615e-10
1.4,20,128,1,0,5150,0.9,10,0,0.00032895,0,-1.2443e-10
1.4,34,384,0,0,2400,0,8,4.44718e-17,46.4807,0,-2.31186e-10
1.4,30,768,1,1,6950,0.8,8,0,0.011201,0,-3.1562e-10
1.4,68,3456,0,1,550,0.3,3,0,5.2076,0,-1.8948e-10
1.4,11,2816,0,1,550,0,4,4.4453e-17,5.4868,0,-2.3928e-10
1.4,59,2112,1,1,550,0.5,3,0,0.01885,0,-1.7205e-10
1.4,74,576,1,1,8850,1,7,5.633e-17,0.011738,0,-2.4647e-10
1.4,30,384,0,1,3000,1,2,4.44488e-17,29.2976,0,-2.59323e-11
1.4,52,5376,0,1,1050,0.5,1,0,3.9937,0,-7.0271e-11
1.4,40,1152,1,0,4700,0.6,1,0,0.0026065,0,-3.4383e-11
1.4,92,3456,0,0,900,0.4,7,0,21.6888,0,-4.49602e-10
1.4,11,320,0,1,1650,0.8,2,0,14.9566,0,-1.98507e-11
1.4,53,2432,0,1,1300,0.7,7,0,37.6922,0,-3.98017e-10
1.4,91,3072,0,1,5150,0.1,5,0,68.4347,0,-3.03851e-10
1.4,2,384,1,1,1050,1,10,0,0.0091011,0,-3.0355e-10
1.4,27,1984,0,0,650,1,2,0,6.3076,0,-1.0088e-10
1.4,50,192,0,0,550,0.2,2,0,3.3192,0,3.0437e-11
1.4,67,128,0,0,1500,0.7,7,0,44.883,0,-5.13936e-11
1.4,45,576,1,0,550,0,5,0,0.0014375,0,-1.6824e-10
1.4,78,704,1,1,9150,0.2,8,4.4507e-17,0.012744,0,-3.1324e-10
1.4,17,448,0,1,8600,0,4,4.44533e-17,84.1126,0,-1.0995e-10
1.4,20,320,0,0,7400,0.8,7,1.010344e-16,234.142,0,-1.838982e-10
1.4,59,1344,0,1,3050,0.9,6,4.44718e-17,86.2965,0,-2.93901e-10
1.4,74,2112,1,1,3700,0.5,1,0,0.020644,0,-5.2272e-11
1.4,98,3968,0,1,3250,0.4,9,0,98.8508,0,-5.88398e-10
1.4,93,448,1,0,3700,0.8,10,4.4548e-17,0.0021057,0,-3.333e-10
1.4,19,512,0,0,4400,0,5,0,54.5687,0,-1.67533e-10
1.4,34,128,1,1,5000,0.2,8,0,0.007874,0,-6.4824e-11
