1.1,1.2,1.3,1.4,2.1,2.2,3.0,car_cache,dynamo_stream,dynamo_ondemand,dynamo_writerate,dynamo_peakcapacity,dynamo_peaktime,dynamo_readrate,sqs_queue_size,sqs_timeout,fargate_vcpus,fargate_memorylevel,lambda_parallel_instances,lambda_allocated_memory,ec2_vcpus,ec2_memorylevel,ec2_instances,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,latency,cost,reliability,scalability
0,0,0,0,1,0,0,3,0.0,0.0,9300.0,8.0,0.1,2100.0,149.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002016,1.3019,0,4.9196e-05
0,0,0,0,1,0,0,2,1.0,1.0,9050.0,7.0,0.1,8950.0,101.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046059,1.8678,0,0.00016979
0,0,0,0,1,0,0,7,1.0,1.0,1650.0,10.0,1.0,5000.0,96.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041246,1.449,0,0.00013163
0,0,0,0,1,0,0,4,1.0,0.0,5100.0,7.0,0.1,1450.0,23.0,5.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004608,0.94079,0,4.2594e-05
0,0,0,0,1,0,0,10,0.0,1.0,7450.0,5.0,0.6,800.0,8.0,9.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4451,0,0.00013106
0,0,0,0,1,0,0,2,1.0,1.0,4700.0,7.0,1.0,8850.0,210.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025788,1.8675,0,0.00016975
0,0,0,0,1,0,0,1,0.0,1.0,2850.0,1.0,1.0,3450.0,21.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067406,2.5718,0,0.00023685
0,0,0,0,1,0,0,1,1.0,1.0,4650.0,8.0,0.5,5650.0,25.0,8.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005856,2.4087,0,0.00021886
0,0,0,0,1,0,0,4,0.0,0.0,3950.0,2.0,0.8,3750.0,8.0,9.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002304,0.95495,0,4.2026e-05
0,0,0,0,1,0,0,5,0.0,0.0,2500.0,6.0,0.1,3450.0,200.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65175,0,0.0
0,0,0,0,1,0,0,5,0.0,1.0,9250.0,7.0,0.9,2800.0,268.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002826,1.5482,0,0.00014067
0,0,0,0,1,0,0,1,1.0,0.0,4200.0,7.0,0.4,2950.0,677.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6679e-05,1.6204,0,0.00011864
0,0,0,0,1,0,0,9,1.0,1.0,4650.0,4.0,0.3,7300.0,19.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4091,0,0.000128
0,0,0,0,1,0,0,2,0.0,1.0,9200.0,8.0,0.0,4150.0,342.0,6.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9123,0,0.0001735
0,0,0,0,1,0,0,2,1.0,0.0,9200.0,2.0,0.5,4450.0,359.0,5.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016702,1.1363,0,6.9526e-05
0,0,0,0,1,0,0,10,0.0,1.0,1450.0,2.0,0.7,5400.0,30.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001152,1.443,0,0.00013119
0,0,0,0,1,0,0,1,1.0,1.0,9650.0,10.0,0.4,2450.0,268.0,6.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012708,2.4072,0,0.00021856
0,0,0,0,1,0,0,7,0.0,0.0,3900.0,9.0,0.6,7750.0,18.0,4.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6964,0,3.1312e-05
0,0,0,0,1,0,0,1,0.0,1.0,9950.0,8.0,0.9,2800.0,46.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00062512,2.4432,0,0.00022217
0,0,0,0,1,0,0,9,0.0,1.0,8450.0,8.0,0.3,5650.0,18.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4624,0,0.00013277
0,0,0,0,1,0,0,4,0.0,1.0,4100.0,6.0,0.2,4750.0,142.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00064048,1.6183,0,0.00014713
0,0,0,0,1,0,0,3,0.0,1.0,4800.0,7.0,0.6,3250.0,62.0,2.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6976,0,0.0001541
0,0,0,0,1,0,0,8,0.0,0.0,4550.0,8.0,0.9,4150.0,31.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018432,7.4916,0,2.8934e-05
0,0,0,0,1,0,0,6,1.0,0.0,750.0,10.0,0.6,8300.0,255.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0994,0,3.3413e-05
