Topology,lambda_parallel_instances,lambda_allocated_memory,car_cache,latency,cost,reliability,scalability
1.2,93,960,6,0,0.18795,10,-0.10649
1.2,74,256,5,0,0.17694,10,-0.021743
1.2,17,5184,2,0,0.22573,10,-0.1102
1.2,63,3776,10,0,0.19043,10,-0.27765
1.2,27,1088,5,0,0.17767,10,-0.040858
1.2,65,448,4,4.4453e-17,0.19396,10,-0.032533
1.2,49,448,2,4.443e-17,0.22114,10,-0.021712
1.2,3,3968,10,0,0.17687,10,-0.020023
1.2,87,6464,3,0,0.22003,10,-0.47057
1.2,46,128,6,0,0.18371,10,-0.0060501
1.2,66,448,6,4.4453e-17,0.18482,10,-0.034807
1.2,65,192,2,0,0.22063,10,-0.010655
1.2,94,256,6,0,0.18449,10,-0.026537
1.2,82,832,5,0,0.17956,10,-0.086751
1.2,1,192,9,0,0.18349,10,-0.00025134
1.2,87,256,10,0,0.17708,10,-0.025533
1.2,60,256,5,0,0.17679,10,-0.017729
1.2,42,4160,9,0,0.19426,10,-0.21988
1.2,58,384,9,4.4506e-17,0.18445,10,-0.025392
1.2,69,192,2,0,0.22066,10,-0.011301
1.2,34,3776,4,0,0.20035,10,-0.16235
1.2,1,896,1,0,0.22019,10,-0.0010285
1.2,75,256,9,0,0.18428,10,-0.021152
1.2,9,128,4,0,0.19269,10,-0.0011405
1.2,63,128,10,0,0.17645,10,-0.0083869
1.2,35,6144,3,0,0.1971,10,-0.26093
1.2,62,256,4,0,0.19331,10,-0.016751
1.2,91,1984,8,0,0.18883,10,-0.21066
1.2,50,1600,10,4.3312e-17,0.18062,10,-0.11222
1.2,4,1088,2,5.5733e-17,0.22037,10,-0.0050754
1.2,50,3456,4,0,0.20302,10,-0.20565
1.2,100,3072,8,0,0.19682,10,-0.31984
1.2,79,896,10,0,0.17969,10,-0.089789
1.2,60,768,8,0,0.18113,10,-0.057857
1.2,45,320,5,4.4484e-17,0.17677,10,-0.017301
1.2,7,9984,1,2.7872e-17,0.22481,10,-0.093872
1.2,43,3776,3,0,0.19322,10,-0.20344
1.2,24,1984,1,0,0.22277,10,-0.055294
1.2,48,2368,10,0,0.18259,10,-0.15095
1.2,36,832,2,0,0.22165,10,-0.032502
1.2,23,3072,4,0,0.19677,10,-0.094866
1.2,40,4736,7,0,0.20041,10,-0.22891
1.2,95,2816,2,4.4453e-17,0.23575,10,-0.25249
1.2,83,3200,6,0,0.19943,10,-0.29114
1.2,16,128,5,0,0.17622,10,-0.0021842
1.2,69,320,6,1.0039e-16,0.18445,10,-0.025386
1.2,42,128,2,0,0.22035,10,-0.0044374
1.2,46,256,1,0,0.22064,10,-0.010917
1.2,84,768,4,0,0.19577,10,-0.07365
1.2,94,448,10,4.4548e-17,0.17805,10,-0.050483
1.2,46,4736,3,0,0.19691,10,-0.25841
1.2,42,832,9,4.4468e-17,0.18523,10,-0.044928
1.2,93,3456,10,0,0.19544,10,-0.33842
1.2,15,7360,3,0,0.19066,10,-0.15936
1.2,5,6464,5,0,0.17825,10,-0.05561
1.2,57,9600,1,4.4429e-17,0.25663,10,-0.42915
1.2,5,4736,9,0,0.18494,10,-0.038005
1.2,22,8768,9,0,0.19634,10,-0.2506
1.2,77,1792,1,0,0.22774,10,-0.14346
1.2,94,1600,2,0,0.22842,10,-0.15418
1.2,66,384,9,4.4506e-17,0.18458,10,-0.028771
1.2,96,2240,7,0,0.20092,10,-0.23615
1.2,16,192,10,0,0.17627,10,-0.0034603
1.2,49,8384,4,0,0.22004,10,-0.39499
1.2,65,4544,8,3.06e-17,0.19736,10,-0.32971
1.2,41,960,10,0,0.17812,10,-0.052356
1.2,53,1024,2,0,0.22295,10,-0.058966
1.2,47,384,4,4.4472e-17,0.19343,10,-0.01973
1.2,16,3328,4,0,0.19584,10,-0.075355
1.2,83,576,5,0,0.17838,10,-0.05872
1.2,45,576,1,0,0.22136,10,-0.026419
1.2,25,832,9,4.4468e-17,0.18452,10,-0.027351
