Topology,car_cache,dynamo_stream,dynamo_ondemand,dynamo_writerate,dynamo_peakcapacity,dynamo_peaktime,dynamo_readrate,sqs_queue_size,sqs_timeout,lambda_parallel_instances,lambda_allocated_memory,latency,cost,complexity,scalability
2.2,3,1,0,750,6,0,4600,528,1,43,4480,2.39025e-06,6.64665,16,8.05096
2.2,10,0,1,7050,4,0.3,4850,872,5,23,7936,2.6946e-06,12.2499,16,8.97025
2.2,8,1,1,1300,3,0.7,4050,192,7,40,8896,2.15568e-06,12.1983,16,8.95486
2.2,1,0,0,5800,9,0.3,4700,824,2,97,832,2.6946e-07,35.5793,16,3.78237
2.2,8,0,0,7750,5,0,3350,112,4,46,3456,2.15568e-06,22.1536,16,1.26532
2.2,3,0,1,7200,5,0.9,2150,952,7,51,7296,8.08379e-07,15.3768,16,8.97318
2.2,2,0,1,10000,9,0.3,1200,552,9,2,6592,5.38919e-07,17.813,16,9.00459
2.2,8,0,0,9650,6,0.6,1100,24,2,48,8000,2.155677e-06,329.6961,16,0.08635741
2.2,1,1,1,9100,6,0.8,6650,336,2,45,1472,2.6946e-07,24.1507,16,8.99328
2.2,9,1,0,9900,8,0.4,6150,608,10,99,6912,2.425137e-06,350.1866,16,0.07668164
2.2,9,0,0,9050,4,0.6,4850,392,6,87,9600,2.425137e-06,223.718,16,0.1192652
2.2,7,0,0,6950,10,0.8,750,920,2,67,5632,1.886218e-06,476.2706,16,0.06469057
2.2,10,0,1,1950,2,0,2350,320,6,32,7488,2.6946e-06,12.258,16,8.96706
2.2,10,1,1,9000,9,0.4,1350,400,5,6,4160,2.6946e-06,11.7953,16,8.98849
2.2,7,1,1,4800,1,0.6,9200,80,5,37,3136,1.88622e-06,12.4919,16,8.97351
2.2,2,0,1,650,4,0.2,5850,624,2,57,7616,5.38919e-07,17.9683,16,8.92915
2.2,4,1,1,1450,7,0.3,650,672,9,48,4672,1.07784e-06,13.933,16,8.98265
2.2,10,1,1,2250,2,0.4,8800,816,10,23,5376,2.6946e-06,11.7998,16,8.98295
2.2,4,0,1,10000,3,0,4300,744,8,68,7360,1.07784e-06,14.3694,16,8.96195
2.2,3,1,1,4000,4,0.6,6900,328,4,1,5376,8.08379e-07,14.9658,16,8.98793
2.2,5,1,0,6600,3,0.3,950,440,10,49,6400,1.3473e-06,38.3294,16,0.965226
2.2,6,1,1,5000,1,1,7850,880,10,36,8000,1.61676e-06,12.7613,16,8.9722
2.2,10,1,0,1050,9,0.9,1200,768,5,76,5120,2.694597e-06,103.8155,16,0.2407809
