Topology,car_cache,ec2_vcpus,ec2_memorylevel,ec2_instances,latency,cost,complexity,scalability
3.0,4,6,2,77,0.57,2.7012,10,8.9153
3.0,2,12,2,83,0.625,4.0512,10,8.9404
3.0,4,2,3,72,0.5225,2.7012,10,8.9499
3.0,6,12,3,56,0.625,2.2512,10,8.8168
3.0,9,12,2,69,0.625,2.0014,10,8.7705
3.0,10,12,3,19,0.625,1.8912,10,8.7476
3.0,8,4,2,80,0.545,2.0262,10,8.8864
3.0,4,2,1,5,0.51375,2.7012,10,8.9558
3.0,7,6,2,18,0.57,2.187,10,8.8737
3.0,9,6,1,80,0.545,2.0013,10,8.8835
3.0,1,2,2,94,0.5225,6.3012,10,8.9905
3.0,7,10,2,93,0.5875,2.185,10,8.8617
3.0,3,16,1,82,0.625,3.0012,10,8.8935
3.0,1,8,2,20,0.5875,6.3012,10,8.9812
3.0,8,4,1,62,0.535,2.0262,10,8.8986
3.0,10,12,1,92,0.5875,1.8912,10,8.808
3.0,4,2,1,91,0.51375,2.7012,10,8.9558
3.0,9,10,2,1,0.5875,2.0013,10,8.8267
3.0,2,4,3,39,0.545,4.0512,10,8.97
3.0,4,6,1,43,0.545,2.7012,10,8.9341
3.0,2,10,2,69,0.5875,4.0512,10,8.955
3.0,4,16,1,75,0.625,2.7012,10,8.8697
3.0,4,14,2,71,0.625,2.7012,10,8.8697
3.0,4,16,3,44,0.75,2.7012,10,8.745
3.0,5,6,2,39,0.57,2.3412,10,8.8889
3.0,1,8,2,31,0.5875,6.3012,10,8.9812
3.0,5,2,2,30,0.5225,2.3412,10,8.9341
3.0,1,16,1,69,0.625,6.3012,10,8.975
3.0,2,16,2,90,0.7125,4.0512,10,8.9009
3.0,8,8,2,35,0.5875,2.0262,10,8.8308
3.0,6,14,1,30,0.5875,2.2512,10,8.8612
3.0,4,16,1,21,0.625,2.7012,10,8.8697
3.0,4,6,3,89,0.57,2.7012,10,8.9153
3.0,1,2,1,20,0.51375,6.3012,10,8.9916
3.0,1,8,1,92,0.57,6.3012,10,8.9838
