Topology,fargate_vcpus,fargate_memorylevel,car_cache,latency,cost,complexity,scalability
1.1,8,1,2,0,4.1499,5,8.8373
1.1,12,3,8,0,2.2277,5,8.1861
1.1,6,3,1,0,6.4019,5,8.8867
1.1,6,3,1,0,6.4019,5,8.8867
1.1,2,2,7,0,2.216,5,8.8922
1.1,4,2,6,0,2.3095,5,8.775
1.1,10,3,4,0,2.8691,5,8.4734
1.1,10,1,1,0,6.4246,5,8.9039
1.1,12,1,4,0,2.8493,5,8.5363
1.1,2,1,3,0,3.0259,5,8.9866
1.1,12,3,8,0,2.2277,5,8.1861
1.1,6,2,4,0,2.7886,5,8.7205
1.1,16,2,2,0,4.2842,5,8.5104
1.1,14,1,3,0,3.174,5,8.5209
1.1,4,1,3,0,3.0506,5,8.9061
1.1,12,2,10,0,2.066,5,8.2386
1.1,6,2,5,0,2.4286,5,8.6761
1.1,16,2,5,0,2.5742,5,8.1853
1.1,8,3,6,0,2.3855,5,8.4933
1.1,8,2,10,0,2.0077,5,8.4777
1.1,14,1,4,0,2.874,5,8.4589
1.1,14,1,4,0,2.874,5,8.4589
1.1,4,1,2,0,4.1006,5,8.9552
1.1,8,3,5,0,2.4755,5,8.5117
1.1,4,3,1,0,6.3683,5,8.9388
1.1,2,3,7,0,2.2205,5,8.867
1.1,10,2,9,0,2.1469,5,8.3894
1.1,2,2,4,0,2.7303,5,8.927
1.1,2,3,8,0,2.0598,5,8.8546
1.1,12,1,4,0,2.8493,5,8.5363
1.1,14,3,3,0,3.2362,5,8.3464
1.1,2,1,8,0,2.0509,5,8.9177
1.1,8,3,1,0,6.4355,5,8.8356
1.1,2,2,3,0,3.0303,5,8.9442
1.1,14,3,5,0,2.5762,5,8.1789
1.1,4,2,8,0,2.0845,5,8.7485
1.1,14,2,5,0,2.5451,5,8.2789
1.1,16,3,8,0,2.2948,5,7.9466
1.1,4,1,1,3.2e-06,6.3644,5,8.9978
1.1,6,1,4,0,2.7753,5,8.7897
1.1,12,1,9,0,2.1493,5,8.3798
1.1,8,2,1,0,6.4177,5,8.8758
1.1,4,1,3,0,3.0506,5,8.9061
1.1,14,3,1,0,6.5362,5,8.6836
1.1,2,3,6,0,2.2848,5,8.8736
1.1,4,3,5,0,2.4083,5,8.7491
1.1,10,1,2,0,4.1746,5,8.7788
1.1,16,3,10,0,2.1598,5,7.8807
1.1,4,2,8,0,2.0845,5,8.7485
1.1,2,2,4,0,2.7303,5,8.927
1.1,8,1,2,0,4.1499,5,8.8373
1.1,10,2,4,0,2.8468,5,8.5395
1.1,8,2,9,0,2.1177,5,8.5048
1.1,8,3,3,0,3.1355,5,8.6145
1.1,4,1,7,0,2.2363,5,8.819
1.1,10,3,10,0,2.0591,5,8.2662
1.1,14,2,9,0,2.2051,5,8.1678
1.1,10,2,3,0,3.1469,5,8.5834
1.1,14,2,1,0,6.5051,5,8.743
1.1,12,3,5,0,2.5427,5,8.2869
1.1,10,3,1,0,6.4691,5,8.7841
1.1,4,3,8,0,2.0934,5,8.7113
1.1,16,1,9,0,2.1987,5,8.1916
1.1,14,3,5,0,2.5762,5,8.1789
1.1,10,3,6,0,2.4191,5,8.3754
1.1,2,1,2,6.4e-06,4.0828,5,8.9983
1.1,12,1,5,0,2.4893,5,8.4645
1.1,12,2,2,0,4.226,5,8.6311
1.1,2,1,4,0,2.7259,5,8.9663
1.1,16,3,2,0,4.3198,5,8.4404
1.1,14,2,8,0,2.2301,5,8.1771
1.1,6,2,10,0,1.9786,5,8.6025
1.1,12,3,4,0,2.9027,5,8.3754
1.1,8,3,10,0,2.0255,5,8.4033
1.1,8,1,7,0,2.2856,5,8.6112
1.1,14,2,3,0,3.2051,5,8.4274
1.1,8,1,5,0,2.4399,5,8.6471
1.1,12,2,8,0,2.201,5,8.2853
1.1,6,3,10,0,1.9919,5,8.5449
1.1,12,1,7,0,2.335,5,8.4292
1.1,8,2,4,0,2.8177,5,8.6278
1.1,16,1,6,0,2.4487,5,8.2742
1.1,8,1,6,0,2.3499,5,8.6252
1.1,6,3,1,0,6.4019,5,8.8867
1.1,10,2,1,0,6.4468,5,8.831
1.1,14,3,8,0,2.2612,5,8.0646
1.1,16,2,10,0,2.1242,5,8.0127
1.1,12,1,1,0,6.4493,5,8.8668
1.1,14,2,3,0,3.2051,5,8.4274
1.1,2,1,4,0,2.7259,5,8.9663
1.1,14,3,10,0,2.1262,5,8.0052
1.1,12,2,6,0,2.426,5,8.3516
1.1,12,3,2,0,4.2527,5,8.5737
1.1,4,1,4,0,2.7506,5,8.8772
1.1,14,3,1,0,6.5362,5,8.6836
1.1,10,2,4,0,2.8468,5,8.5395
1.1,16,3,6,0,2.5198,5,8.0406
1.1,10,1,8,0,2.1496,5,8.4832
1.1,4,2,7,0,2.2452,5,8.7665
1.1,8,3,6,0,2.3855,5,8.4933
1.1,14,3,10,0,2.1262,5,8.0052
1.1,14,2,6,0,2.4551,5,8.2525
1.1,10,3,5,0,2.5091,5,8.3978
1.1,12,1,8,0,2.1743,5,8.3869
1.1,4,1,4,0,2.7506,5,8.8772
1.1,6,1,3,0,3.0753,5,8.8266
1.1,16,2,5,0,2.5742,5,8.1853
1.1,4,3,8,0,2.0934,5,8.7113
1.1,12,1,5,0,2.4893,5,8.4645
1.1,14,1,8,0,2.199,5,8.2928
1.1,14,1,1,0,6.474,5,8.8292
1.1,2,2,9,0,2.0303,5,8.8766
1.1,6,2,2,0,4.1386,5,8.8336
1.1,12,2,8,0,2.201,5,8.2853
1.1,4,3,5,0,2.4083,5,8.7491
1.1,2,2,9,0,2.0303,5,8.8766
1.1,16,1,10,0,2.0887,5,8.1491
1.1,16,2,5,0,2.5742,5,8.1853
1.1,8,2,2,0,4.1677,5,8.7652
1.1,14,2,9,0,2.2051,5,8.1678
1.1,12,2,7,0,2.3617,5,8.334
1.1,6,2,9,0,2.0886,5,8.6234
1.1,16,3,1,0,6.5698,5,8.6353
1.1,16,2,1,0,6.5342,5,8.7004
1.1,4,1,2,0,4.1006,5,8.9552
1.1,12,3,9,0,2.2027,5,8.1769
1.1,12,3,2,0,4.2527,5,8.5737
1.1,10,1,9,0,2.1246,5,8.4772
1.1,6,3,8,0,2.1269,5,8.5738
1.1,6,1,4,0,2.7753,5,8.7897
1.1,8,2,5,0,2.4577,5,8.5733
1.1,14,1,4,0,2.874,5,8.4589
1.1,4,2,4,0,2.7595,5,8.8227
1.1,2,3,7,0,2.2205,5,8.867
1.1,14,2,7,0,2.3908,5,8.2324
1.1,12,2,4,0,2.876,5,8.453
1.1,12,1,10,0,2.0393,5,8.3464
1.1,12,1,10,0,2.0393,5,8.3464
1.1,8,3,10,0,2.0255,5,8.4033
1.1,6,2,1,0,6.3886,5,8.9207
1.1,4,2,8,0,2.0845,5,8.7485
1.1,6,2,4,0,2.7886,5,8.7205
1.1,14,3,5,0,2.5762,5,8.1789
1.1,2,1,4,0,2.7259,5,8.9663
1.1,6,3,6,0,2.3519,5,8.6146
1.1,10,1,3,0,3.1246,5,8.6714
1.1,14,2,10,0,2.0951,5,8.1241
1.1,10,2,10,0,2.0369,5,8.3564
1.1,10,3,8,0,2.1941,5,8.3114
1.1,2,1,3,0,3.0259,5,8.9866
1.1,8,2,9,0,2.1177,5,8.5048
1.1,14,2,6,0,2.4551,5,8.2525
1.1,6,3,7,0,2.2876,5,8.6038
1.1,14,3,1,0,6.5362,5,8.6836
1.1,10,1,9,0,2.1246,5,8.4772
1.1,16,3,1,0,6.5698,5,8.6353
1.1,10,2,1,0,6.4468,5,8.831
1.1,4,1,3,0,3.0506,5,8.9061
1.1,16,3,1,0,6.5698,5,8.6353
1.1,16,3,1,0,6.5698,5,8.6353
1.1,6,3,1,0,6.4019,5,8.8867
1.1,4,1,9,0,2.0506,5,8.7929
1.1,10,1,2,0,4.1746,5,8.7788
1.1,8,1,10,0,1.9899,5,8.5534
1.1,4,1,1,3.2e-06,6.3644,5,8.9978
1.1,16,3,3,0,3.2698,5,8.2607
1.1,6,2,7,0,2.2743,5,8.6542
1.1,2,1,2,6.4e-06,4.0828,5,8.9983
1.1,14,2,3,0,3.2051,5,8.4274
1.1,12,1,1,0,6.4493,5,8.8668
1.1,10,2,5,0,2.4869,5,8.4729
1.1,6,2,3,0,3.0886,5,8.7567
1.1,2,3,5,0,2.3748,5,8.8824
