Topology,lambda_parallel_instances,lambda_allocated_memory,car_cache,latency,cost,complexity,scalability
1.2,91,6976,9,0,3.0051,5,5.9934
1.2,78,9600,4,0,3.8853,5,6.2571
1.2,43,2688,5,0,2.5243,5,8.3472
1.2,1,8832,4,0,2.7155,5,8.9525
1.2,20,2880,10,0,1.9826,5,8.5849
1.2,65,2880,4,0,2.9975,5,8.1103
1.2,45,8960,4,0,3.339,5,7.2809
1.2,38,7808,7,0,2.6563,5,7.4096
1.2,1,960,3,0,3.0031,5,8.9943
1.2,27,1216,5,0,2.3935,5,8.8034
1.2,48,5440,10,0,2.3044,5,7.3863
1.2,7,960,9,0,2.0122,5,8.9508
1.2,51,3968,2,0,4.3715,5,8.3406
1.2,66,2688,6,0,2.532,5,8.0018
1.2,4,9664,10,0,1.9527,5,8.7166
1.2,53,6336,9,0,2.5324,5,7.112
1.2,88,640,1,0,6.3906,5,8.8741
1.2,20,5440,6,0,2.4236,5,8.3599
1.2,27,2176,8,0,2.1195,5,8.604
1.2,41,5184,8,0,2.3626,5,7.7186
1.2,100,1664,5,0,2.6046,5,8.0897
1.2,48,4288,5,0,2.667,5,7.9007
1.2,100,896,1,0,6.4432,5,8.8016
1.2,99,9536,8,0,3.519,5,5.1821
1.2,8,4224,4,0,2.755,5,8.8242
1.2,99,9408,1,0,7.774,5,7.295
1.2,48,9024,2,0,4.7363,5,7.6981
1.2,25,1408,8,0,2.0822,5,8.7578
1.2,34,1152,3,0,3.0635,5,8.817
1.2,86,7936,2,0,5.1305,5,7.1067
1.2,40,2688,6,0,2.4216,5,8.3669
1.2,67,832,4,0,2.7897,5,8.7145
1.2,24,9472,4,0,3.0609,5,7.9422
1.2,30,1024,7,0,2.2358,5,8.803
1.2,50,2752,8,0,2.2441,5,8.1261
1.2,95,9664,9,0,3.4529,5,5.2161
1.2,19,7872,5,0,2.578,5,8.1732
1.2,13,3904,1,0,6.3818,5,8.8863
1.2,92,9792,7,0,3.6114,5,5.45
1.2,25,6784,1,0,6.5697,5,8.6322
1.2,97,6720,2,0,5.082,5,7.1744
1.2,9,448,6,0,2.258,5,8.9731
1.2,84,7744,10,0,2.9199,5,5.8292
1.2,61,3712,1,0,6.6595,5,8.5157
1.2,24,6848,5,0,2.6014,5,8.0998
1.2,17,5504,6,0,2.3995,5,8.4438
1.2,82,4800,10,0,2.5138,5,6.7709
1.2,87,5248,6,0,2.9734,5,6.8141
1.2,68,6848,2,0,4.7877,5,7.6155
1.2,48,6208,10,0,2.3626,5,7.2041
1.2,17,8640,3,0,3.2338,5,8.3527
1.2,58,1344,6,0,2.3748,5,8.5315
1.2,9,3776,7,0,2.241,5,8.7828
1.2,3,6592,9,0,2.0328,5,8.8599
1.2,46,8704,8,0,2.6595,5,6.8568
1.2,45,6144,8,0,2.4637,5,7.4019
1.2,24,4608,1,0,6.4764,5,8.7565
1.2,62,256,7,0,2.2124,5,8.8964
1.2,20,5120,5,0,2.5035,5,8.4167
1.2,72,6976,8,0,2.8206,5,6.4652
1.2,45,3328,6,0,2.4883,5,8.1423
1.2,86,9152,7,0,3.4315,5,5.7357
1.2,52,5440,2,0,4.4988,5,8.1046
1.2,14,6016,7,0,2.3204,5,8.4821
1.2,65,704,1,0,6.3739,5,8.8973
1.2,61,4160,5,0,2.7427,5,7.6824
1.2,8,4160,2,0,4.1042,5,8.8838
1.2,100,7104,5,0,3.4646,5,6.0817
1.2,13,7552,10,0,2.0468,5,8.3159
1.2,87,8832,2,0,5.2663,5,6.9235
1.2,29,8512,5,0,2.7318,5,7.7131
1.2,100,2880,4,0,3.1569,5,7.7009
1.2,75,5504,6,0,2.9042,5,6.9765
1.2,8,896,2,0,4.0629,5,8.9741
1.2,90,6784,7,0,3.1525,5,6.2434
1.2,6,5120,4,0,2.7501,5,8.8398
1.2,25,7808,9,0,2.3102,5,7.7963
1.2,6,5632,2,0,4.105,5,8.882
1.2,99,5312,6,0,3.0829,5,6.5719
1.2,72,8192,9,0,2.934,5,6.1386
1.2,63,192,3,0,3.0207,5,8.9419
1.2,6,5184,9,0,2.0508,5,8.7825
1.2,58,6336,2,0,4.6325,5,7.8706
1.2,75,2880,9,0,2.343,5,7.6869
1.2,81,4928,10,0,2.5226,5,6.7473
1.2,53,2240,2,0,4.2393,5,8.6008
1.2,2,3520,9,0,2.0127,5,8.9485
