Topology,lambda_parallel_instances,lambda_allocated_memory,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,car_cache,latency,cost,complexity,scalability
1.4,72,7168,1,0,1600,0.8,1,0,5.3263,9,7.6038
1.4,42,9984,1,1,1600,0.6,10,0,1.4458,9,2.8013
1.4,91,4608,0,1,2200,0.2,8,0,4.1414,9,1.2224
1.4,33,8128,1,1,1450,0.7,3,0,2.2569,9,5.9817
1.4,93,4480,1,0,2850,0.6,6,0,1.419,9,4.7568
1.4,66,9920,1,1,3600,0.2,5,0,2.2679,9,3.5716
1.4,97,6656,1,0,200,1,3,0,2.531,9,5.3338
1.4,74,8064,1,0,800,0.3,8,0,1.5162,9,3.3389
1.4,1,1600,1,1,1550,0.3,7,0,0.97826,9,5.9143
1.4,51,5760,1,1,3200,0.2,2,0,3.0473,9,6.6453
1.4,84,576,0,0,2350,0.4,10,0,1.5171,9,2.6695
1.4,100,6080,1,1,400,0.2,4,0,2.419,9,4.1856
1.4,22,2240,0,0,3000,0.7,3,0,2.0397,9,6.6188
1.4,1,3136,0,0,950,0.4,8,0,0.88667,9,5.7095
1.4,32,9792,1,1,2450,0.1,2,0,3.0782,9,6.5785
1.4,50,960,1,1,2850,0.3,3,0,1.9088,9,7.0727
1.4,61,2688,0,0,3650,1,6,0,2.3374,9,2.8878
1.4,50,8832,1,0,600,0.1,10,0,1.1585,9,3.4959
1.4,50,6336,0,1,2850,0.7,2,0,3.8775,9,5.2224
1.4,94,3264,1,1,2150,0.1,7,0,1.4608,9,3.9608
1.4,34,9856,1,1,300,0.3,1,0,5.3626,9,7.5523
1.4,16,9344,0,0,2000,0.7,4,0,1.7743,9,5.7064
1.4,25,8576,1,1,850,0.2,5,0,1.5718,9,5.1533
1.4,5,6336,0,1,2700,0.5,1,0,5.0433,9,8.0304
1.4,88,3392,1,1,3850,0.2,3,0,2.3047,9,5.8575
1.4,51,5376,0,0,3100,0.5,7,0,2.0557,9,2.8145
1.4,60,5312,1,0,3300,1,7,0,1.1571,9,5.0003
1.4,26,8768,0,0,3750,0.4,8,0,2.1874,9,2.3144
1.4,27,9920,1,0,3750,0.4,6,0,1.1838,9,5.702
1.4,18,6016,1,1,1500,0.2,6,0,1.2541,9,5.3825
1.4,80,3776,0,1,3350,0.9,10,0,7.9204,9,0.51134
1.4,29,576,0,0,2850,0,9,0,1.2957,9,3.4729
1.4,25,9152,0,1,1550,0.8,1,0,5.1722,9,7.8303
1.4,67,2752,1,1,250,0.7,8,0,1.1869,9,4.2655
1.4,44,1920,1,0,1700,0.9,9,0,0.64393,9,6.9883
1.4,50,3584,0,1,3700,0.9,4,0,4.4973,9,2.2514
1.4,76,4544,1,1,750,0.7,2,0,3.1288,9,6.4721
1.4,68,6720,0,0,650,0.6,7,0,1.5832,9,3.6545
1.4,80,7168,1,0,2250,0.5,7,0,1.5598,9,3.7094
1.4,17,2944,1,0,600,0.9,5,0,0.9895,9,8.186
1.4,39,2240,1,0,2100,0.5,4,0,1.2735,9,7.9506
1.4,12,3200,0,0,1150,0.1,9,0,0.90243,9,4.9866
1.4,12,9344,1,0,900,0.2,9,0,0.68764,9,6.5441
1.4,43,3008,1,1,3300,0,7,0,1.1802,9,4.9023
1.4,84,2688,0,1,300,0.5,3,0,2.0241,9,6.6696
1.4,68,256,1,0,3100,0.2,1,0,4.5379,9,8.9248
1.4,44,5952,1,1,1700,0,7,0,1.3897,9,4.1632
1.4,10,3264,1,0,3750,1,5,0,0.96198,9,8.4201
1.4,97,832,0,0,3550,0.9,1,0,4.8305,9,8.3842
1.4,1,3328,1,1,3850,0.1,9,0,0.83813,9,5.3691
1.4,69,8128,1,0,3100,1,2,0,3.147,9,6.4348
1.4,83,3200,0,1,1100,0.2,8,0,2.4368,9,2.0775
1.4,31,3840,0,1,2200,0,4,0,2.6626,9,3.8027
1.4,35,1280,1,1,3900,0.8,6,0,1.1537,9,5.8508
1.4,100,3520,0,0,200,0.2,8,0,1.1756,9,4.3063
1.4,80,3456,0,0,2400,1,4,0,2.1476,9,4.7145
1.4,25,1408,1,0,1500,0.3,8,0,0.62853,9,8.0545
1.4,40,3392,1,0,3200,0.7,8,0,0.78737,9,6.4296
1.4,26,3136,1,0,2850,1,4,0,1.2643,9,8.0085
1.4,38,640,0,0,3100,0.9,10,0,2.2706,9,1.7837
1.4,10,1792,0,1,2150,0.2,1,0,4.8875,9,8.2864
1.4,65,4096,0,0,1950,0.6,8,0,1.7377,9,2.9133
1.4,98,5056,0,1,1800,0.6,9,0,4.3608,9,1.0319
1.4,11,5120,1,0,700,0.7,1,0,4.5994,9,8.8055
1.4,77,7104,1,1,1450,0.1,7,0,1.8405,9,3.1436
1.4,9,5184,0,0,2850,0.6,6,0,1.6494,9,4.0925
1.4,6,9152,0,1,350,0.3,1,0,4.65,9,8.7097
1.4,11,2240,1,1,1600,1,1,0,4.8718,9,8.3131
1.4,52,8064,1,1,600,0.6,9,0,1.4958,9,3.0085
1.4,26,4032,0,0,2750,1,2,0,2.7499,9,7.3638
1.4,90,6912,1,0,3350,0.6,9,0,1.4938,9,3.0125
1.4,9,384,0,1,550,0.3,5,0,1.3809,9,5.8659
1.4,100,9856,0,0,900,0.1,7,0,2.4076,9,2.4031
1.4,95,1664,1,1,1650,0.2,8,0,1.1453,9,4.4203
1.4,33,3840,1,0,2100,0,4,0,1.3357,9,7.5803
1.4,13,320,0,0,1050,0.7,4,0,1.3458,9,7.5236
1.4,75,1792,1,0,2450,0.3,2,0,2.4728,9,8.1889
1.4,2,8256,1,1,3950,0.3,3,0,1.859,9,7.2621
1.4,89,4224,0,1,750,0.4,3,0,2.4929,9,5.4154
1.4,18,9344,1,0,650,0.7,10,0,0.72627,9,5.5765
1.4,6,7168,1,1,3900,1,2,0,2.6509,9,7.639
1.4,72,5952,0,1,3400,0.2,10,0,6.7643,9,0.59874
1.4,65,5824,0,1,1350,0.9,4,0,2.8521,9,3.5501
1.4,32,7616,0,0,2400,0.1,6,0,1.612,9,4.1873
1.4,55,2752,1,0,1250,0.6,5,0,1.1497,9,7.0456
1.4,85,448,0,0,2350,0,4,0,1.4669,9,6.9023
1.4,46,8768,1,0,2050,0.7,3,0,2.148,9,6.285
1.4,98,9216,0,1,1750,0.2,1,0,6.2195,9,6.5117
1.4,62,9216,1,1,1000,0.6,5,0,2.1362,9,3.7919
1.4,59,5312,1,1,2400,0.3,6,0,1.5783,9,4.2767
1.4,5,1600,1,1,800,0.4,3,0,1.8455,9,7.315
1.4,71,2624,0,0,4000,1,9,0,2.978,9,1.5111
1.4,77,1280,1,0,3350,0,3,0,1.6662,9,8.1023
1.4,35,2624,1,1,1250,0.5,7,0,1.1209,9,5.1616
1.4,38,6848,0,0,3800,0.9,9,0,2.881,9,1.5619
1.4,87,5248,1,0,2900,0.8,5,0,1.6322,9,4.9628
1.4,90,1664,1,0,2850,1,1,0,4.7471,9,8.5315
1.4,91,960,1,0,1050,0.8,6,0,0.89848,9,7.5126
1.4,30,1024,1,0,3100,0,6,0,0.80895,9,8.3442
1.4,69,7616,0,0,900,0.3,4,0,2.0949,9,4.8331
1.4,34,2624,1,1,2000,0.3,7,0,1.1168,9,5.1808
1.4,90,8768,1,1,2200,0,4,0,2.7053,9,3.7426
1.4,88,256,0,0,2650,0.5,3,0,1.8923,9,7.134
1.4,53,6848,1,1,3700,0.9,6,0,1.6566,9,4.0745
1.4,18,5504,1,1,1400,0.6,5,0,1.3895,9,5.8295
1.4,23,9984,1,1,3150,0.8,7,0,1.3387,9,4.3218
1.4,15,9152,0,1,1950,0.6,7,0,3.4586,9,1.6729
1.4,6,512,0,0,2600,0.3,6,0,1.3629,9,4.9527
1.4,1,832,1,0,2150,0.1,8,0,0.5742,9,8.8167
1.4,60,8960,1,1,2550,1,6,0,1.9327,9,3.4925
1.4,49,6656,1,0,600,1,9,0,1.026,9,4.3861
1.4,73,1920,0,0,3200,0.3,7,0,1.7425,9,3.3203
1.4,80,6208,1,1,1950,0.1,1,0,5.618,9,7.209
1.4,91,6656,0,1,800,0.1,2,0,3.4627,9,5.848
1.4,96,6144,0,0,550,0.7,9,0,1.6841,9,2.672
1.4,2,6784,0,1,3100,0.1,5,0,3.3933,9,2.3871
1.4,7,1344,1,0,2100,0.3,2,0,2.2753,9,8.9001
1.4,71,256,0,0,3750,0.7,2,0,2.6655,9,7.5972
1.4,33,6976,0,0,1500,0.8,5,0,1.6732,9,4.8411
1.4,75,4352,1,1,3150,0.5,5,0,1.7489,9,4.6316
1.4,1,8576,0,1,1550,0.8,7,0,2.8504,9,2.0298
1.4,55,6208,0,1,2050,0.8,4,0,3.3256,9,3.0446
1.4,50,7296,1,1,4000,1,7,0,1.5524,9,3.7269
