Topology,car_cache,dynamo_stream,dynamo_ondemand,dynamo_writerate,dynamo_peakcapacity,dynamo_peaktime,dynamo_readrate,sqs_queue_size,sqs_timeout,fargate_vcpus,fargate_memorylevel,latency,cost,complexity,scalability
2.1,4,0,0,550,3,0.2,2350,280,8,6,1,0,7.15582,16,7.1504
2.1,2,1,0,7350,5,1,9850,136,5,12,2,0,89.0881,16,0.880396
2.1,2,1,1,8650,6,0.9,3800,696,1,6,3,0,17.8109,16,8.9529
2.1,3,1,1,5900,1,0.7,2250,120,1,10,3,0,15.298,16,8.90303
2.1,2,0,0,2800,3,0.5,950,752,6,8,2,0,17.8538,16,4.76701
2.1,9,0,1,3000,6,0.8,1950,816,7,8,1,0,12.6193,16,8.93144
2.1,9,1,0,800,10,0.1,2700,384,9,4,2,0,13.4161,16,2.07504
2.1,8,1,0,5750,2,0.3,6350,928,7,16,1,0,33.1561,16,0.881023
2.1,1,0,0,2500,4,0.5,9350,184,9,12,3,0,22.1232,16,6.25765
2.1,6,1,0,5450,2,0.8,4500,512,5,14,2,0,46.4333,16,0.746853
2.1,4,1,0,2800,8,0.3,4950,416,6,16,3,0,38.777,16,1.17631
2.1,7,1,0,6950,3,0.4,8600,288,6,8,3,0,66.7523,16,0.481377
2.1,4,0,0,7250,5,0.8,1300,848,3,2,3,0,135.6493,16,0.3335544
2.1,4,0,0,8950,7,0.2,6250,744,10,6,3,0,73.8737,16,0.611975
2.1,2,1,1,9300,7,0.6,8250,952,8,16,2,0,17.9432,16,8.88464
2.1,10,1,1,6800,7,0.4,6500,104,2,8,1,0,11.9769,16,8.92809
2.1,8,0,0,3650,3,0.2,2700,496,7,4,1,0,27.9503,16,1.03893
2.1,6,0,0,1150,7,0,5450,496,2,6,1,0,6.00562,16,5.73437
2.1,10,1,1,7000,7,0.1,1750,320,3,14,1,0,12.051,16,8.87322
2.1,3,1,1,650,10,0.9,1900,176,5,2,3,0,15.1637,16,8.98586
2.1,3,1,1,7900,9,0.7,6350,680,4,8,2,0,15.2467,16,8.93363
2.1,2,0,1,5250,5,0,1200,136,9,2,1,6.4e-06,18.1018,16,9.00113
2.1,5,1,1,4800,1,0.6,2250,64,8,4,3,0,13.3133,16,8.95666
2.1,8,1,1,9100,6,0.4,8500,936,10,8,3,0,12.377,16,8.90455
2.1,5,0,0,5950,2,0.8,4450,488,7,14,1,0,45.5835,16,0.831855
2.1,10,0,1,6000,5,0.2,6450,720,4,4,1,0,12.3595,16,8.96738
2.1,4,1,0,4350,8,0.7,750,80,6,6,1,0,120.4316,16,0.3794416
2.1,2,1,0,2250,4,0.8,9350,936,5,6,1,0,23.9762,16,3.28058
2.1,1,1,1,6200,10,0.4,1450,800,3,2,3,0,24.5837,16,8.99887
2.1,8,1,0,7500,8,0.1,5500,176,1,16,1,0,73.4001,16,0.397974
2.1,10,0,1,7950,7,0.3,3850,336,5,4,1,0,12.3595,16,8.96738
2.1,4,0,1,8750,2,0.9,6800,632,5,16,2,0,14.7032,16,8.85921
2.1,8,0,1,8300,4,0.9,8650,232,7,16,2,0,12.9032,16,8.83958
2.1,7,1,1,4900,9,0.3,4650,464,6,10,3,0,12.7355,16,8.88331
2.1,1,0,0,6100,4,0.3,3800,688,7,4,3,0,24.6632,16,5.61864
2.1,6,1,1,8250,5,1,3000,952,10,6,3,0,12.9509,16,8.93212
2.1,10,0,1,4550,3,0,5500,880,3,8,2,0,12.4267,16,8.91781
2.1,1,0,0,4800,2,0.6,9500,880,5,16,1,0,21.1509,16,6.59434
2.1,2,1,0,9600,6,0.5,4700,912,2,10,1,0,76.1488,16,1.03227
2.1,8,0,1,4950,1,0.8,5700,888,3,16,1,0,12.8676,16,8.864
2.1,10,0,0,6750,9,0.2,5800,1000,3,6,1,0,170.0212,16,0.1515624
2.1,1,1,0,8450,8,0.7,7800,112,3,6,2,0,71.6273,16,1.95817
2.1,4,0,1,4050,7,0.3,5650,776,5,6,1,0,14.5442,16,8.96176
2.1,5,1,1,3150,4,0.9,9600,104,5,16,3,0,13.5148,16,8.82315
2.1,8,0,1,3450,2,0.7,8150,712,9,4,1,0,12.7195,16,8.96955
2.1,8,1,0,6100,2,0.7,4550,976,5,4,3,0,60.2106,16,0.485152
2.1,7,0,1,2800,6,0.4,1950,704,9,2,1,0,13.0166,16,8.98976
2.1,7,1,0,3050,4,0.5,3050,592,9,16,1,0,50.8632,16,0.631754
2.1,3,1,1,4050,4,0.9,2350,288,7,10,3,0,15.298,16,8.90303
2.1,5,1,0,8350,4,0.4,1300,608,4,8,2,0,80.1807,16,0.476958
2.1,7,0,1,6100,9,0.7,2450,56,5,6,1,0,13.0659,16,8.95202
2.1,2,1,0,7100,2,0.4,9000,352,10,8,2,0,19.8459,16,3.95491
2.1,9,1,1,5600,8,0.8,7700,616,9,6,2,0,12.178,16,8.93734
2.1,4,1,1,5700,4,1,550,248,2,10,3,0,14.233,16,8.89577
2.1,4,0,0,9650,9,1,7650,472,1,6,1,0,434.2578,16,0.104297
2.1,10,1,1,8550,3,1,3350,752,6,12,1,0,12.0263,16,8.89144
2.1,4,1,0,3500,1,0.5,4350,264,1,8,1,0,8.7479,16,5.22103
2.1,3,0,1,3650,9,0,3000,40,8,10,2,0,15.6658,16,8.91807
2.1,1,1,1,5950,1,0,3300,912,2,8,2,0,24.6667,16,8.9688
2.1,7,0,1,4300,6,0.1,4500,576,6,14,3,0,13.2269,16,8.84195
2.1,10,1,0,3950,7,0.3,4000,496,7,8,2,0,105.5367,16,0.2457044
2.1,8,1,1,1800,9,0.9,6450,896,8,16,2,0,12.4757,16,8.83408
2.1,8,0,1,8000,1,0.2,9750,664,3,4,3,0,12.7373,16,8.9547
2.1,7,0,0,5650,6,0.3,1000,640,7,4,2,0,93.5074,16,0.341166
2.1,10,0,0,2800,5,0.2,2750,800,9,10,1,0,42.1016,16,0.612063
2.1,6,0,1,7500,4,0.9,6700,680,10,2,1,0,13.2948,16,8.99129
2.1,2,0,0,2900,6,0.6,9450,584,3,2,3,0,36.734,16,2.11565
2.1,2,1,0,5850,1,0.7,3350,976,9,2,2,0,11.7345,16,6.69587
2.1,4,0,0,3250,6,0.5,9100,264,7,16,1,0,57.3606,16,0.788151
2.1,4,1,1,1600,9,0.7,9350,416,2,4,2,0,14.1234,16,8.96729
2.1,7,0,1,3850,2,1,9750,160,10,2,2,0,13.021,16,8.98356
2.1,6,0,1,1700,4,0.3,1750,928,4,14,1,0,13.443,16,8.88635
2.1,2,0,1,2350,6,0.9,6100,376,10,14,3,0,18.3052,16,8.88594
2.1,5,1,0,650,4,1,2750,264,7,6,2,0,17.8406,16,2.14359
2.1,6,0,1,7050,9,0.9,4600,144,7,16,3,0,13.5388,16,8.82347
2.1,9,1,0,9750,2,1,3400,888,1,14,1,0,139.8024,16,0.1991298
2.1,7,0,1,8650,1,0.8,5000,168,8,2,3,0,13.0254,16,8.97922
2.1,6,1,0,4300,8,0.9,3800,792,9,14,3,0,221.992,16,0.1562166
2.1,4,0,1,2900,1,0.3,8950,928,5,10,1,0,14.5936,16,8.92813
2.1,7,1,0,650,6,0.2,4550,832,9,8,1,0,10.7461,16,2.9902
2.1,5,0,0,4400,9,0.3,4800,288,10,6,3,0,83.4269,16,0.454516
2.1,1,1,0,2900,7,0.6,2500,928,2,6,3,0,29.9653,16,4.67742
2.1,4,0,1,4050,8,0.9,9850,872,10,2,3,0,14.5037,16,8.98365
2.1,2,1,0,5950,2,0.4,6950,920,2,16,2,0,18.1776,16,4.31404
2.1,5,0,1,7400,8,0.9,7150,72,3,2,1,0,13.6848,16,8.99298
2.1,9,0,1,7650,8,0,9300,48,5,16,2,0,12.7536,16,8.83739
2.1,4,0,1,1250,2,0.9,6800,240,8,12,2,0,14.6449,16,8.89446
2.1,1,0,1,1550,9,0.8,9600,544,9,14,2,0,25.0241,16,8.93428
2.1,5,0,1,5250,5,0.9,6500,992,2,2,2,0,13.6893,16,8.98608
2.1,2,0,1,3200,8,0.4,1550,176,3,6,3,0,18.1709,16,8.95383
2.1,6,1,0,9400,3,0.7,7000,144,7,4,2,0,120.9948,16,0.2866526
2.1,3,0,1,9250,8,0.7,9950,96,2,14,2,0,15.7241,16,8.88503
2.1,1,0,0,8600,4,0.6,3250,312,6,4,3,0,38.5732,16,3.59249
2.1,7,1,0,1650,6,0.6,3900,768,6,4,3,0,51.6365,16,0.622292
2.1,4,1,1,6550,7,0.6,3600,56,9,12,3,0,14.2666,16,8.87483
2.1,2,0,0,9950,2,0.4,7850,432,7,16,1,0,25.6632,16,3.02874
2.1,9,0,0,7100,1,0.9,4950,728,7,2,1,0,22.6487,16,1.22317
2.1,4,1,1,6600,6,0.7,9200,72,4,4,2,0,14.1234,16,8.96729
2.1,10,1,0,3550,4,0.2,2200,216,4,16,1,0,39.8536,16,0.650651
2.1,5,0,0,8650,1,0.1,9400,296,10,8,3,0,17.579,16,2.15706
2.1,9,0,1,4500,2,0.9,3850,912,5,2,2,0,12.5497,16,8.98191
