Topology,sqs_queue_size,sqs_timeout,lambda_parallel_instances,lambda_allocated_memory,car_cache,latency,cost,complexity,scalability
1.2,344,9,51,5696,8,0,3.1125,8,8.9994
1.2,352,3,83,832,1,0,14.9698,8,8.99103
1.2,312,9,48,3328,5,0,4.0669,8,9.019
1.2,680,6,85,832,3,0,5.8925,8,8.9898
1.2,688,5,33,576,4,0,4.8475,8,9.0292
1.2,432,7,25,8448,9,0,2.9742,8,8.9656
1.2,936,6,31,7744,6,0,3.7208,8,8.934
1.2,616,7,9,7168,3,0,5.8741,8,9.0105
1.2,240,4,29,2560,2,0,8.3898,8,8.9879
1.2,672,3,25,5760,1,0,14.9867,8,8.98088
1.2,824,1,27,3072,7,0,3.4698,8,8.8791
1.2,632,8,28,9984,4,0,4.8672,8,8.9873
1.2,504,2,90,2432,1,0,15.0061,8,8.96778
1.2,368,10,22,2944,6,0,3.6835,8,9.02
1.2,632,4,68,1408,1,0,14.9704,8,8.99064
1.2,48,6,90,5888,6,0,3.7561,8,8.9466
1.2,648,5,27,6144,7,0,3.4363,8,8.9613
1.2,760,3,29,320,3,0,5.8872,8,8.9982
1.2,360,7,61,7616,9,0,3.0008,8,8.8971
1.2,896,1,53,512,8,0,3.1251,8,8.9505
1.2,320,3,27,1536,2,0,8.3867,8,8.9907
1.2,840,8,75,2752,2,0,8.3716,8,8.9954
1.2,56,3,66,6336,6,0,3.7872,8,8.8413
1.2,208,5,29,8384,8,0,3.1273,8,8.9543
1.2,872,5,75,768,10,0,2.7578,8,8.9887
1.2,688,3,74,4864,9,0,3.0433,8,8.7616
1.2,328,6,25,1408,3,0,5.8881,8,8.9867
1.2,368,7,4,6912,3,0,5.8702,8,9.0168
1.2,864,6,47,1600,3,0,5.893,8,8.9889
1.2,392,10,52,1280,10,0,2.7535,8,9.0141
1.2,464,10,30,7872,1,0,14.9439,8,8.99053
1.2,216,8,70,9088,7,0,3.4691,8,8.9128
1.2,552,8,88,8960,9,0,3.0241,8,8.8142
1.2,688,5,5,2432,1,0,14.9296,8,9.00944
1.2,384,10,31,8704,2,0,8.3775,8,8.9979
1.2,312,5,22,7680,3,0,5.8936,8,8.9815
1.2,888,3,20,7296,10,0,2.7888,8,8.8958
1.2,904,8,82,8704,9,0,3.0171,8,8.8285
1.2,232,7,25,4480,8,0,3.1032,8,9.0231
1.2,720,3,74,9088,9,0,3.1139,8,8.563
1.2,976,2,86,7680,8,0,3.304,8,8.4651
1.2,464,4,11,4608,2,0,8.3857,8,8.9918
1.2,296,4,93,1984,7,0,3.4543,8,8.917
1.2,400,2,4,8064,4,0,4.8588,8,9.0116
1.2,752,6,30,8192,9,0,2.9907,8,8.9157
1.2,592,9,56,8192,1,0,14.9391,8,8.99963
1.2,856,2,16,7296,3,0,5.9106,8,8.9609
1.2,744,9,21,7296,7,0,3.4208,8,8.9921
1.2,520,10,19,2112,7,0,3.4145,8,9.017
1.2,744,4,98,448,4,0,4.8711,8,8.9881
1.2,656,1,14,2496,9,0,2.984,8,8.9357
1.2,920,1,25,6144,10,0,2.8405,8,8.7342
1.2,984,7,95,3776,3,0,5.905,8,8.9634
1.2,576,6,29,8768,9,0,2.9918,8,8.9127
1.2,648,8,27,1280,2,0,8.3557,8,9.0125
1.2,672,4,62,7808,8,0,3.1918,8,8.7636
1.2,744,1,23,4736,9,0,3.0231,8,8.8204
1.2,552,1,80,7808,6,0,4.0259,8,8.257
1.2,32,10,25,9024,5,0,4.1103,8,8.997
1.2,64,1,37,5184,4,0,4.9687,8,8.8223
1.2,8,8,35,6592,2,0,8.5026,8,8.8982
1.2,624,5,68,1856,9,0,2.9711,8,8.9693
1.2,160,1,77,8960,3,0,6.2526,8,8.472
1.2,600,1,27,8512,7,0,3.5473,8,8.6851
1.2,488,4,22,2368,8,0,3.1158,8,8.9772
1.2,400,9,53,1088,1,0,14.906,8,9.02574
1.2,944,7,100,4800,10,0,2.799,8,8.8548
1.2,576,3,12,1408,8,0,3.1111,8,8.9909
1.2,144,2,40,3456,5,0,4.1066,8,8.926
1.2,104,2,65,7936,4,0,5.0284,8,8.7276
1.2,312,9,73,4160,2,0,8.3704,8,9.0053
1.2,56,10,43,6016,6,0,3.7188,8,8.9886
1.2,896,2,10,640,1,0,14.939,8,9.00806
1.2,688,5,93,4160,9,0,3.0085,8,8.8579
1.2,712,10,49,4416,6,0,3.6944,8,8.9828
1.2,528,5,96,8576,4,0,4.9628,8,8.8195
1.2,728,9,31,1664,1,0,14.9055,8,9.0083
1.2,752,6,46,7936,3,0,5.9283,8,8.9355
1.2,312,8,46,4096,3,0,5.8823,8,9.0012
1.2,584,9,6,1600,5,0,4.0545,8,9.0302
1.2,896,4,29,768,1,0,14.9575,8,8.99841
1.2,584,9,35,3584,1,0,14.9116,8,9.01587
1.2,392,9,3,1792,9,0,2.9499,8,9.035
1.2,16,5,84,9024,6,0,3.9339,8,8.6973
1.2,840,6,78,3200,2,0,8.4065,8,8.9695
1.2,696,8,40,3520,1,0,14.9285,8,9.00297
1.2,376,4,29,9152,7,0,3.4685,8,8.8822
1.2,432,7,61,9792,8,0,3.1542,8,8.8737
1.2,720,9,2,5760,10,0,2.7472,8,9.0335
1.2,536,1,57,2368,5,0,4.146,8,8.8392
1.2,104,2,81,2624,5,0,4.1301,8,8.8838
1.2,528,1,88,4672,10,0,2.9763,8,8.3355
1.2,576,9,25,1280,2,0,8.348,8,9.0232
1.2,64,3,87,7744,10,0,2.908,8,8.6644
1.2,88,1,98,5248,8,0,3.3821,8,8.2704
1.2,312,2,49,4224,10,0,2.8177,8,8.8
1.2,160,3,16,9600,8,0,3.1419,8,8.9073
1.2,208,7,22,4544,10,0,2.7591,8,9.0002
1.2,584,2,63,1920,1,0,14.9752,8,8.9863
1.2,216,6,67,4672,3,0,5.9219,8,8.9507
1.2,224,9,31,2560,9,0,2.956,8,9.0251
1.2,120,7,33,3328,9,0,2.9723,8,8.983
1.2,552,7,85,6016,4,0,4.8969,8,8.936
1.2,216,7,27,9792,2,0,8.3839,8,8.9996
1.2,800,10,47,6208,5,0,4.0796,8,8.9779
1.2,976,7,78,4224,2,0,8.3908,8,8.9786
1.2,496,9,68,4544,5,0,4.0792,8,8.9801
1.2,160,7,21,6784,2,0,8.3711,8,9.0107
1.2,600,8,58,6912,5,0,4.0937,8,8.9435
1.2,280,10,97,7296,8,0,3.1423,8,8.9305
