Topology,car_cache,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,fargate_vcpus,fargate_memorylevel,latency,cost,complexity,scalability
1.3,8,1,1,1950,0.8,16,1,0,1.076,9,4.705
1.3,10,0,0,1850,0.8,16,2,0,1.688,9,2.3992
1.3,4,1,0,2000,0.6,14,3,0,1.37,9,7.3904
1.3,2,1,1,2700,0.4,6,1,0,2.6401,9,7.7601
1.3,5,1,1,4000,0.6,10,1,0,1.3394,9,6.0474
1.3,7,0,0,3100,0.9,10,2,0,2.0373,9,2.84
1.3,10,0,0,300,0,12,2,0,0.71478,9,5.6661
1.3,6,0,1,2600,0.7,10,2,0,3.9533,9,1.7074
1.3,8,1,1,3200,1,12,1,0,1.0266,9,4.9313
1.3,7,1,1,2550,1,6,1,0,1.0329,9,5.6157
1.3,5,1,0,600,0.8,16,1,0,1.1075,9,7.3139
1.3,7,1,1,1300,0.3,4,1,0,1.0082,9,5.7777
1.3,10,1,1,2250,0.9,6,3,0,0.86673,9,4.6728
1.3,9,0,1,2850,0,16,3,0,4.7069,9,0.95604
1.3,4,1,1,450,0.9,4,3,0,1.5082,9,6.7171
1.3,9,1,1,1600,1,12,3,0,1.0175,9,4.4228
1.3,10,0,0,2200,0,12,2,0,1.2848,9,3.1523
1.3,2,1,0,200,0.9,12,1,0,2.4081,9,8.478
1.3,2,1,0,450,0,10,1,0,2.3834,9,8.5749
1.3,6,0,1,2600,0.3,16,2,0,3.6582,9,1.8452
1.3,7,0,1,1450,1,4,1,0,2.8723,9,2.0281
1.3,3,0,1,2400,0.7,4,2,0,2.9747,9,4.5602
1.3,7,1,0,2850,0.1,2,3,0,0.68643,9,8.4385
1.3,1,0,1,2800,0.5,16,2,0,5.2501,9,7.7407
1.3,7,1,0,2950,0.8,4,2,0,0.71112,9,8.1361
1.3,1,1,1,700,0.9,4,2,0,4.8743,9,8.3721
1.3,1,1,1,1750,0.7,6,3,0,4.9167,9,8.2741
1.3,8,0,1,1350,0.5,10,1,0,2.6793,9,1.8895
1.3,8,0,0,3250,0.2,14,3,0,1.7388,9,2.9115
1.3,4,1,1,500,0.4,2,3,0,1.4746,9,6.8919
1.3,4,0,1,1900,0.9,10,1,0,2.8373,9,3.5807
