Topology,sqs_queue_size,sqs_timeout,lambda_parallel_instances,lambda_allocated_memory,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,car_cache,latency,cost,complexity,scalability
1.4,656,9,46,8704,1,0,2500,0.7,3,0,4.40189,12,8.95686
1.4,456,1,62,256,1,0,2100,0.5,8,4.72452e-08,1.66547,12,8.88509
1.4,696,8,45,3328,1,1,3700,0.6,6,0,2.52234,12,7.80955
1.4,544,2,14,6016,1,1,400,0,7,0,2.23055,12,7.57927
1.4,416,5,8,4160,0,1,2900,0.5,2,0,7.63072,12,7.75134
1.4,752,10,87,8832,0,0,3450,0.5,10,0,2.923,12,4.0539
1.4,288,4,75,5504,1,0,500,0.2,9,0,1.54284,12,8.52284
1.4,680,7,6,5120,0,0,3150,0.9,1,0,13.3048,12,8.88809
1.4,560,2,99,5312,1,1,3350,0.9,7,0,2.37004,12,7.13317
1.4,16,3,6,5184,1,1,2600,0.1,8,0,1.98695,12,7.47483
1.4,288,9,81,4928,1,1,1000,0.2,1,0,13.4655,12,8.79765
1.4,352,9,28,6592,0,0,1600,0.7,6,0,2.68392,12,7.35016
1.4,520,1,78,384,1,1,1600,0.6,7,0,2.23026,12,7.58291
1.4,792,7,70,8064,0,0,550,0.5,9,0,1.73142,12,7.58512
1.4,536,10,9,8640,1,1,450,0.3,3,0,4.70538,12,8.37753
1.4,848,2,89,2048,1,0,2750,0.2,1,0,13.2033,12,8.96444
1.4,432,4,59,2560,1,0,200,0,10,0,1.35066,12,8.76483
1.4,40,6,20,1728,1,1,3200,0.5,8,0,1.98005,12,7.48863
1.4,584,6,39,5824,0,1,3450,0.7,1,0,13.855,12,8.54442
1.4,904,3,56,6208,1,1,300,0.9,10,0,1.7257,12,6.86002
1.4,832,5,51,6592,1,1,3550,0.2,9,0,1.83249,12,7.16936
1.4,760,10,12,7232,1,0,1550,0.4,6,0,2.19391,12,8.97621
1.4,200,2,92,3584,0,0,2100,0.4,10,0,2.30046,12,5.14821
1.4,248,3,2,4544,1,1,1950,0.1,7,0,2.21297,12,7.64218
1.4,632,2,21,6656,0,0,1750,0.9,4,0,3.71789,12,7.96139
1.4,760,6,78,7872,1,0,3500,0.9,3,0,4.46736,12,8.83318
1.4,240,5,20,9152,0,0,1850,0.5,1,0,13.2354,12,8.94755
1.4,552,6,28,4224,0,1,3400,0.9,5,0,6.18538,12,3.82784
1.4,256,2,63,8640,1,0,2450,0.9,9,0,1.63653,12,8.03215
