e_SQS,queue_size,timeout,e_S3,e_lambda,parallel_instances,lambda_chunk_size,time,cost
1,100,8,1,1,32,48,20.8333,3.69935e-05
1,8,0.3,1,1,8,410,2.45098,3.605124e-05
1,1000,6,1,1,180,8,125,0.0001330001
1,120,0.5,1,1,100,128,7.8125,0.0001366135
1,24,7,1,1,100,64,15.625,8.04255e-05
1,700,0.8,1,1,1,340,2.678571,9.59862e-06
1,16,2,1,1,120,340,2.97619,0.0004117795
1,180,4,1,1,8,24,41.66667,4.822671e-05
1,32,4,1,1,24,164,6.25,4.641031e-05
1,1000,3,1,1,180,128,7.8125,0.0001238134
1,120,7,1,1,1000,256,3.90625,0.002564727
1,220,0.5,1,1,2,320,3.125,1.032505e-05
1,50,5,1,1,600,320,3.125,0.00192394
1,700,8,1,1,300,32,31.25,8.005038e-05
1,100,0.3,1,1,180,300,3.378378,0.0005441827
1,32,7,1,1,4,300,3.378378,1.617847e-05
1,8,1,1,1,500,16,62.5,0.0001433006
1,120,3,1,1,1,16,59.2,6.473604e-05
1,24,3,1,1,100,164,6.25,0.0001710513
1,100,1,1,1,24,410,2.45098,0.0001016518
1,32,7,1,1,500,48,20.83333,0.0002616353
1,700,10,1,1,800,192,5.208333,0.0007740145
1,50,0.3,1,1,600,24,41.66667,0.0001864678
1,8,3,1,1,500,320,3.125,0.001603938
1,32,7,1,1,24,32,31.25,3.97301e-05
1,100,0.1,1,1,220,164,6.25,0.0003678529
1,300,6,1,1,700,300,3.378378,0.002104195
1,400,9,1,1,4,380,2.659574,1.86597e-05
1,24,0.5,1,1,24,410,2.45098,0.0001016518
1,500,0.1,1,1,24,192,5.208333,5.20887e-05
1,700,0.3,1,1,32,16,62.5,6.842004e-05
1,300,7,1,1,120,16,62.5,8.250015e-05
1,500,4,1,1,32,32,31.25,4.229008e-05
1,600,8,1,1,16,360,2.777778,3.237801e-05
1,100,3,1,1,24,32,31.25,3.97301e-05
1,1000,8,1,1,600,340,2.97619,0.001023784
1,24,8,1,1,4,32,31.25,3.717e-05
1,50,10,1,1,500,380,2.659574,0.001903475
1,800,10,1,1,800,48,20.83333,0.0002136349
1,600,8,1,1,24,24,41.66667,4.822671e-05
1,16,2,1,1,16,32,31.25,3.717e-05
1,100,3,1,1,100,256,3.90625,0.0002607083
1,700,9,1,1,1,164,6.25,1.279005e-05
1,800,4,1,1,1000,48,20.83333,0.0002616353
1,500,3,1,1,4,360,2.777778,1.797789e-05
1,700,10,1,1,800,192,5.208333,0.0007740145
1,400,9,1,1,24,192,5.208333,5.20887e-05
1,700,8,1,1,180,380,2.659574,0.0003454623
1,300,0.5,1,1,700,32,31.25,0.0002560518
1,32,3,1,1,700,320,3.125,0.002243943
1,500,0.8,1,1,600,320,3.125,0.00192394
1,800,1,1,1,100,64,14.0625,7.246296e-05
1,700,0.1,1,1,300,192,5.208333,0.0005820129
1,12,8,1,1,16,12,125,0.0001334801
1,600,1,1,1,800,8,112.5,0.0001709005
1,300,3,1,1,1,192,5.208333,1.176838e-05
1,700,9,1,1,12,340,2.97619,2.417635e-05
1,800,4,1,1,700,380,2.659574,0.00133347
1,100,0.5,1,1,12,16,62.5,6.906e-05
1,300,2,1,1,300,192,5.208333,0.0005820129
1,50,5,1,1,1000,128,7.8125,0.001288623
1,400,0.1,1,1,12,8,125,0.000130888
1,400,5,1,1,400,48,20.83333,0.0002136349
1,1000,0.3,1,1,500,16,62.5,0.0001433006
1,600,0.1,1,1,120,340,2.97619,0.0004117795
1,100,8,1,1,16,48,20.8333,2.93134e-05
1,600,6,1,1,1000,164,6.25,0.0008270566
1,180,1,1,1,600,16,62.5,0.0001593008
1,120,6,1,1,12,256,3.90625,3.54265e-05
1,500,2,1,1,100,32,31.25,6.405026e-05
1,120,2,1,1,4,300,3.378378,1.617847e-05
1,400,1,1,1,400,300,3.378378,0.001204188
1,24,2,1,1,400,320,3.125,0.001283935
1,220,0.5,1,1,300,128,7.8125,0.0003926156
1,1000,3,1,1,50,12,125,0.0001348001
1,800,8,1,1,700,24,41.66667,0.0001264673
1,180,4,1,1,120,380,2.659574,0.0004594632
1,50,8,1,1,180,16,62.5,9.210023e-05
1,800,7,1,1,1,360,2.777778,8.977821e-06
1,180,0.1,1,1,8,192,5.208333,2.136846e-05
1,300,6,1,1,800,410,2.45098,0.003283277
1,12,5,1,1,24,12,125,0.0001344401
1,16,4,1,1,120,128,7.8125,0.0001622137
1,400,0.8,1,1,600,12,125,0.0001978006
1,300,0.1,1,1,32,410,2.45098,0.000134452
1,12,5,1,1,2,8,118.4,0.000123936
1,220,3,1,1,8,340,2.97619,3.097641e-05
1,100,9,1,1,700,340,2.97619,0.002383795
1,1000,1,1,1,500,360,2.5,0.001623313
1,800,6,1,1,50,12,125,0.0001348001
1,1000,9,1,1,500,64,15.625,0.0001764263
1,1000,1,1,1,50,32,28.125,4.332512e-05
1,50,0.1,1,1,220,340,2.97619,0.0007517822
1,220,6,1,1,24,128,7.8125,3.933275e-05
1,400,5,1,1,100,380,2.659574,0.0003834626
1,300,8,1,1,2,24,41.66667,4.750671e-05
1,400,6,1,1,100,32,31.25,6.405026e-05
1,600,3,1,1,100,16,62.5,7.130006e-05
1,400,0.8,1,1,24,16,62.5,7.098006e-05
