e_SQS,queue_size,timeout,e_S3,e_lambda,parallel_instances,lambda_chunk_size,time,cost
0,0,0,1,1,12,16,125,0.000130888
0,0,0,1,1,32,340,125,0.00013092
0,0,0,1,1,700,12,125,0.0001818004
0,0,0,1,1,220,380,125,0.0001434001
0,0,0,1,1,1000,24,125,0.0002058006
0,0,0,1,1,800,8,125,0.0001898005
0,0,0,1,1,8,16,125,0.000130856
0,0,0,1,1,50,192,125,0.0001338001
0,0,0,1,1,120,64,125,0.0001354001
0,0,0,1,1,8,32,125,0.000130856
0,0,0,1,1,300,340,125,0.0001498002
0,0,0,1,1,400,164,125,0.0001578003
0,0,0,1,1,1000,128,125,0.0002058006
0,0,0,1,1,50,380,125,0.0001338001
0,0,0,1,1,500,16,125,0.0001658003
0,0,0,1,1,16,320,125,0.00013092
0,0,0,1,1,12,320,125,0.000130888
0,0,0,1,1,300,32,125,0.0001498002
0,0,0,1,1,100,164,125,0.0001338001
0,0,0,1,1,180,2,125,0.0001402001
0,0,0,1,1,12,2,125,0.000130888
0,0,0,1,1,300,128,125,0.0001498002
0,0,0,1,1,220,320,125,0.0001434001
0,0,0,1,1,400,380,125,0.0001578003
0,0,0,1,1,300,4,125,0.0001498002
0,0,0,1,1,100,164,125,0.0001338001
0,0,0,1,1,100,64,125,0.0001338001
0,0,0,1,1,32,1,125,0.00013092
0,0,0,1,1,500,24,125,0.0001658003
0,0,0,1,1,32,8,125,0.00013092
0,0,0,1,1,800,320,125,0.0001898005
0,0,0,1,1,24,24,125,0.00013156
0,0,0,1,1,220,128,125,0.0001434001
0,0,0,1,1,50,8,125,0.0001338001
0,0,0,1,1,8,192,125,0.000130856
0,0,0,1,1,32,16,125,0.00013092
0,0,0,1,1,12,256,125,0.000130888
0,0,0,1,1,600,256,125,0.0001738004
0,0,0,1,1,1000,300,125,0.0002058006
0,0,0,1,1,8,64,125,0.000130856
0,0,0,1,1,400,2,125,0.0001578003
0,0,0,1,1,220,12,125,0.0001434001
0,0,0,1,1,32,380,125,0.00013092
0,0,0,1,1,8,8,125,0.000130856
0,0,0,1,1,180,340,125,0.0001402001
0,0,0,1,1,600,128,125,0.0001738004
0,0,0,1,1,800,410,125,0.0001898005
