e_SQS,queue_size,timeout,e_S3,e_lambda,parallel_instances,lambda_chunk_size,time,cost
1,100,0.3,1,1,700,192,5.208333,0.001350019
1,50,10,1,1,24,192,5.208333,5.20887e-05
1,1000,0.8,1,1,100,16,56.25,7.145012e-05
1,120,0.1,1,1,120,360,2.777778,0.0004355812
1,1000,3,1,1,180,256,3.90625,0.0002351081
1,220,1,1,1,1000,48,20.83333,0.0005016372
1,12,4,1,1,400,164,6.25,0.0006630552
1,300,5,1,1,600,64,15.625,0.0004004281
1,300,8,1,1,16,12,125,0.0001334801
1,8,5,1,1,2,32,31.25,3.7106e-05
1,1000,9,1,1,2,16,62.5,6.832404e-05
1,100,4,1,1,4,24,41.6667,4.75547e-05
1,16,5,1,1,2,32,31.25,3.7106e-05
1,24,9,1,1,2,128,7.8125,1.373254e-05
1,100,9,1,1,600,8,125,0.0001738004
1,800,9,1,1,24,380,2.659574,4.905994e-05
1,24,0.8,1,1,2,410,2.45098,1.145105e-05
1,180,9,1,1,24,164,6.25,4.641031e-05
1,700,1,1,1,24,164,5.625,4.184928e-05
1,220,8,1,1,400,48,20.83333,0.0002136349
1,32,0.1,1,1,24,380,2.659574,9.46603e-05
1,300,4,1,1,16,64,15.625,2.666508e-05
1,50,8,1,1,700,12,125,0.0002098007
1,1000,0.8,1,1,16,340,2.678571,5.243896e-05
1,16,4,1,1,220,64,15.625,0.0001572261
1,120,0.5,1,1,4,32,31.25,3.717004e-05
1,300,1,1,1,700,64,15.625,0.0004644286
1,16,8,1,1,220,12,125,0.0001522002
1,24,9,1,1,12,16,62.5,6.906e-05
1,16,1,1,1,1,410,2.45098,1.145105e-05
1,24,0.3,1,1,16,410,2.45098,6.885151e-05
1,1000,4,1,1,500,192,5.208333,0.0004860122
1,220,1,1,1,1,12,59.2,6.355203e-05
1,220,8,1,1,1000,24,41.66667,0.0002824686
1,8,0.3,1,1,1,64,15.625,2.1481e-05
1,800,0.5,1,1,1000,340,2.678571,0.003063503
1,50,0.8,1,1,16,8,125,0.00013092
1,600,5,1,1,400,8,125,0.0001418001
1,100,3,1,1,700,16,62.5,0.0001753009
1,600,6,1,1,1,300,3.378378,1.017843e-05
1,1000,7,1,1,50,320,3.125,8.392564e-05
1,32,0.8,1,1,1,300,3.378378,1.017843e-05
1,100,1,1,1,300,128,7.8125,0.0003926156
1,500,10,1,1,16,192,5.208333,3.672858e-05
1,180,7,1,1,1,48,20.83333,2.667337e-05
1,500,0.5,1,1,300,320,3.125,0.0009639327
1,120,0.8,1,1,12,24,41.66667,4.822671e-05
1,8,4,1,1,300,300,3.378378,0.0009041856
1,180,2,1,1,4,24,41.66667,4.755471e-05
1,1000,0.8,1,1,16,64,14.0625,2.407857e-05
1,1000,6,1,1,220,256,3.90625,0.0002863085
